Kepler-22,0,1,25.2153637,0.335051794,5527.7,60,4.513,0.1,-0.202,0.04,11.664,0.100,5.108831366,0.024164031
KOI-315,1.8,1,33.40470267,0.753766687,4816.1,60,4.611,0.1,-0.216,0.04,12.968,0.100,5.087917714,0.025285649
KIC 5960966,204,77,32.38,4.8,4238,274,4.55,0.24,-0.19,0.14,13.79,0.100,5.00128013,0.66502623
2MASS J19243078+4748082,123,82,45.47,5.31,3552,97,1.31,0.51,-0.22,0.14,13.38,0.100,4.803800913,0.252521972
Kepler-99,0.9,1,31.45500786,0.343984605,4852.3,60,4.551,0.1,0.233,0.04,12.97,0.100,4.770390706,0.023692016
TYC 3554-514-1,139,24,1.66903,nan,5825,77,4.25,0.12,0.12,0.13,10.245,0.100,4.754681771,0.024669439
KOI-4399,1.8,1,17.73040312,0.117201578,5577.1,60,4.674,0.1,-0.04,0.04,11.965,0.100,4.714537488,0.018309986
BD+45 2960,7.8,1,10.847,0.002,6318.2,60,4.115,0.1,-0.049,0.04,9.582,0.100,4.673790699,0.027571709
KOI-3224,2.6,1,22.69751812,0.134888773,5380.4,60,4.577,0.1,0.075,0.04,12.192,0.100,4.653173028,0.021296293
KOI-2720,2.6,1,14.63439111,0.507031788,5925.8,60,4.029,0.1,-0.126,0.04,10.338,0.100,4.649287523,0.026741467
KOI-5792,2.3,1,3.55,0.25,4819.6,60,4.547,0.1,0.011,0.04,15.705,0.100,4.618272919,0.274889174
Kepler-1,1.3,1,24.84872928,14.6184546,5818.7,60,4.4,0.1,0.012,0.04,11.338,0.100,4.615427436,0.022357678
Kepler-954,4.3,1,10.821,0.003,5030.1,60,4.725,0.1,0.202,0.04,12.971,0.100,4.60484805,0.02432548
Kepler-942,2.9,1,14.39907614,1.91462473,4767.6,60,4.484,0.1,0.076,0.04,13.054,0.100,4.5931203,0.013804252
KOI-4287,8.3,1,22.83265973,4.872425928,6260.4,60,4.247,0.1,-0.052,0.04,11.265,0.100,4.588549154,0.508237282
Kepler-396,3.6,1,13.272,0.014,5655.9,60,4.566,0.1,0.184,0.04,11.921,0.100,4.440644078,0.035627924
KOI-4582,2.1,1,14.43973673,0.343450378,5637.1,60,4.441,0.1,-0.186,0.04,11.756,0.100,4.423051882,0.026811763
USNO-A2.0 1275-13153132,215,36,27.854,0.477,4779,235,4.46,0.3,-0.04,0.19,13.819,0.100,4.354959145,0.5409441
