Kepler-1008,1,2.7,1,21.036,0.042,5045.3,60,4.612,0.1,-0.028,0.04,13.395,0.1,3.510135182,0.015888203
Kepler-960,1,2.5,1,18.626,0.013,4773.4,60,4.638,0.1,0.061,0.04,13.884,0.1,3.48098099,0.019560127
Kepler-202,2,1.6,1,16.16205574,1.562881244,4761.9,60,4.58,0.1,-0.207,0.04,13.872,0.1,3.478496648,0.013594924
Kepler-517,1,1.3,1,18.7078947,5.256178095,5562.5,60,4.366,0.1,-0.16,0.04,12.193,0.1,3.420685634,0.024273126
Kepler-858,1,0.7,1,33.08673155,8.988257702,5511.3,60,4.381,0.1,0.016,0.04,12.45,0.1,3.320959602,0.021824242
Kepler-1312,1,7.7,1,5.998,0.001,5755.8,60,4.632,0.1,0.127,0.04,12.43,0.1,3.31466017,0.02537443
Kepler-62,5,0.6,1,29.90297143,10.51108753,4858.8,60,4.593,0.1,-0.343,0.04,13.725,0.1,3.294735846,0.013368358
Kepler-141,2,1.9,1,18.77993711,6.949386129,5019.3,60,4.538,0.1,0.333,0.04,13.448,0.1,3.291354277,0.014263261
KIC 8098181,0,188,19,1.003,nan,5076,186,4.56,0.23,0.07,0.14,12.858,0.1,3.280197199,0.145720194
Kepler-533,1,2.6,1,35.94367504,0.739940056,4790.3,60,4.549,0.1,0.07,0.04,13.933,0.1,3.271943307,0.015568284
Kepler-137,2,0.1,1,20.5119224,8.240030203,5236.9,60,4.495,0.1,0.046,0.04,12.99,0.1,3.271755829,0.019870503
Kepler-100,3,2.7,1,25.77849181,0.712382919,5854.3,60,4.073,0.1,0.102,0.04,11.197,0.1,3.253697582,0.01875313
Kepler-48,4,0.3,1,38.34837241,3.853812385,5234.8,60,4.459,0.1,0.256,0.04,13.04,0.1,3.231323788,0.019139857
Kepler-1039,1,3,1,34.921,6.985,4766.3,60,4.567,0.1,0.134,0.04,14.145,0.1,3.229516722,0.020369992
Kepler-539,2,3,1,11.769,0.016,5815.7,60,4.597,0.1,-0.016,0.04,12.391,0.1,3.225735247,0.037082322
Kepler-211,2,2.8,1,13.845,0.007,5193.4,60,4.63,0.1,0.181,0.04,13.283,0.1,3.203716131,0.018018258
Kepler-909,1,5.3,1,11.78205781,0.144168763,6042.3,60,4.265,0.1,0.17,0.04,11.538,0.1,3.201258097,0.021643461
Kepler-1499,1,3.4,1,14.67908674,0.052741442,5042.1,60,4.619,0.1,0.193,0.04,13.509,0.1,3.198304472,0.016187753
Kepler-1512,1,4.6,1,9.333065014,0.032137704,4807.8,60,4.678,0.1,0.105,0.04,13.393,0.1,3.171827653,0.240472566
Kepler-532,1,2.4,1,15.148,0.022,5120.1,60,4.676,0.1,0.097,0.04,13.524,0.1,3.168166834,0.019671856
Kepler-482,1,2.2,1,23.40403453,11.29958381,4733.5,60,4.413,0.1,-0.273,0.04,13.779,0.1,3.165484658,0.022866169
Kepler-1444,1,4.9,1,12.97842954,6.560945782,5875,60,4.571,0.1,0.215,0.04,12.325,0.1,3.09939698,0.020605503
Kepler-1507,1,2.8,1,11.13182241,0.089925107,5296.8,60,4.56,0.1,0.047,0.04,13.136,0.1,3.091440448,0.014268237
Kepler-884,1,3.1,1,22.986,0.026,5746.9,60,4.386,0.1,-0.088,0.04,13.069,0.1,3.089273343,0.230805556
Kepler-1558,1,3.7,1,12.15541213,0.038665983,5091.9,60,4.645,0.1,0.244,0.04,13.632,0.1,3.041071126,0.014325044
Kepler-973,1,2,1,25.75108105,0.178154074,5180.9,60,4.592,0.1,0.044,0.04,13.218,0.1,3.01592091,0.042804533
Kepler-197,4,0.6,1,21.69931715,2.464343211,5944.9,60,4.32,0.1,-0.401,0.04,11.811,0.1,2.996280539,0.021143379
Kepler-509,1,2.4,1,19.22051589,1.66341356,5951.6,60,4.283,0.1,-0.025,0.04,11.854,0.1,2.979634739,0.033578965
KIC 6390424,0,194,25,6.882,0.014,5704,118,4.31,0.15,-0.02,0.19,13.259,0.1,2.967231099,0.012723609
Kepler-134,2,2,1,15.72,1.388,5917.6,60,4.491,0.1,-0.167,0.04,12.324,0.1,2.958124722,0.021136919
Kepler-1544,1,2.9,1,26.38874284,0.154263157,4852.2,60,4.606,0.1,0.01,0.04,14.061,0.1,2.955397234,0.014657179
Kepler-518,1,1.5,1,16.77909258,0.151058631,5801.6,60,4.556,0.1,-0.14,0.04,12.549,0.1,2.930796136,0.025191922
Kepler-971,1,7.1,1,6.248,0.001,5516.9,60,4.665,0.1,0.166,0.04,13.237,0.1,2.926819907,0.057443366
Kepler-407,2,0.6,1,26.34302,6.795184096,5555.6,60,4.253,0.1,0.411,0.04,12.521,0.1,2.926617117,0.021783974
Kepler-808,1,2.4,1,38.284,4.447,4758.6,60,4.521,0.1,0.034,0.04,14.285,0.1,2.913548317,0.126134677
Kepler-86,1,2,1,23.7749494,0.230421895,5676.2,60,4.449,0.1,-0.026,0.04,12.62,0.1,2.879622444,0.030163405
Kepler-332,3,1.3,1,23.637,0.107,4955.1,60,4.66,0.1,-0.131,0.04,14.017,0.1,2.876496356,0.015147169
Kepler-1066,1,6,1,7.043,0.008,5557.7,60,4.67,0.1,0.096,0.04,13.007,0.1,2.876127618,0.021083028
Kepler-421,1,1.4,1,36.22309765,6.612968531,5223.5,60,4.568,0.1,-0.226,0.04,13.354,0.1,2.840111758,0.016555979
Kepler-127,3,6.6,1,10.20251535,0.096390612,6124.8,60,4.217,0.1,0.24,0.04,11.485,0.1,2.805769722,0.021303798
Kepler-806,1,0.3,1,14.71537256,3.632746124,5737.1,60,4.134,0.1,-0.253,0.04,11.731,0.1,2.734528258,0.021986299
Kepler-1087,1,1.6,1,33.05862014,4.792235249,5476.3,60,4.391,0.1,0.402,0.04,12.953,0.1,2.729111028,0.026231924
Kepler-406,2,0.3,1,18.37223447,1.016866423,5656.5,60,4.318,0.1,0.28,0.04,12.52,0.1,2.71840566,0.025243157
Kepler-1339,1,3.2,1,23.89735782,4.68479984,5874.4,60,4.382,0.1,-0.084,0.04,12.299,0.1,2.667942113,0.057274484
Kepler-1173,1,1.9,1,39.59,6.37,5076.1,60,4.53,0.1,0.166,0.04,13.829,0.1,2.623275271,0.016738625
Kepler-466,2,2.9,1,15.7279654,0.509959359,5805,60,4.339,0.1,-0.029,0.04,12.772,0.1,2.606904113,0.202670471
Kepler-484,1,0.8,1,15.757,0.011,5651.5,60,4.581,0.1,0.064,0.04,13.024,0.1,2.58808148,0.019023337
Kepler-1525,1,2.4,1,23.36737453,6.489000322,5605.3,60,4.268,0.1,0.246,0.04,12.737,0.1,2.582300562,0.020889058
Kepler-321,2,2.9,1,21.38878954,0.227471866,5740.9,60,4.393,0.1,0.116,0.04,12.706,0.1,2.571827886,0.022551127
Kepler-174,3,2.1,1,24.95209722,3.006857893,4693,60,4.532,0.1,-0.564,0.04,14.287,0.1,2.570238699,0.017996033
Kepler-144,2,6.8,1,8.210000116,0.120728533,6182.4,60,4.326,0.1,-0.134,0.04,11.992,0.1,2.569247512,0.021678121
Kepler-221,4,4.5,1,9.399,0.004,5260.3,60,4.677,0.1,0.043,0.04,13.749,0.1,2.567082453,0.018948549
Kepler-1361,1,1.5,1,37.089,0.72,5036.8,60,4.52,0.1,0.083,0.04,13.93,0.1,2.540862041,0.013731261
Kepler-1055,1,3.9,1,11.823,0.006,5681.5,60,4.624,0.1,0.058,0.04,13.09,0.1,2.539232435,0.016022117
Kepler-540,1,0.5,1,51.39800651,22.08649628,5842.4,60,4.352,0.1,-0.183,0.04,12.209,0.1,2.533056838,0.025742308
