KOI-4409,3.8,1,1.214,0.027,-0.026
KOI-3880,14.3,1,1.211,0.023,-0.022
Kepler-631,7.4,1,1.211,0.03,-0.027
Kepler-84,4.5,1,1.196,0.464,-0.233
Kepler-506,7.5,1,1.195,0.023,-0.022
Kepler-624,4,1,1.187,0.03,-0.028
Kepler-1393,2.3,1,1.182,0.144,-0.12
Kepler-1224,5.3,1,1.18,0.026,-0.025
KOI-5159,4.4,1,1.177,0.044,-0.043
KOI-2043,2.4,1,1.168,0.032,-0.031
Kepler-377,2.6,1,1.168,0.027,-0.028
Kepler-1271,4.4,1,1.165,0.034,-0.033
Kepler-1316,3,1,1.162,0.026,-0.025
Kepler-746,1.7,1,1.161,0.414,-0.256
KIC 5207271,155,124,1.156,0.068,-0.062
KIC 4907633,142,41,1.156,0.041,-0.039
KOI-4581,2.1,1,1.155,0.026,-0.022
KOI-2547,2.2,1,1.151,0.033,-0.031
KOI-5135,3.1,1,1.15,0.058,-0.055
KOI-1897,2.2,1,1.148,0.029,-0.028
Kepler-1211,2.9,1,1.129,0.087,-0.079
KOI-2970,5.1,1,1.123,0.024,-0.023
Kepler-130,0.9,1,1.118,0.023,-0.023
KOI-635,6,1,1.107,0.025,-0.023
Kepler-1276,6.2,1,1.104,0.024,-0.022
Kepler-157,1.5,1,1.102,0.03,-0.029
Kepler-24,25.2,1,1.099,0.039,-0.037
Kepler-545,1.7,1,1.098,0.029,-0.028
Kepler-418,2.5,1,1.089,0.032,-0.03
Kepler-323,3.1,1,1.085,0.026,-0.026
Kepler-1602,4.2,1,1.078,0.023,-0.022
KIC 3750812,177,76,1.075,0.025,-0.025
KOI-2009,1.3,1,1.072,0.026,-0.025
KIC 5709582,225,146,1.07,0.039,-0.036
Kepler-454,0.5,1,1.068,0.021,-0.019
Kepler-1601,2.1,1,1.048,0.022,-0.022
KOI-1861,7.7,1,1.04,0.018,-0.023
KOI-1822,4.5,1,1.04,0.021,-0.02
Kepler-1655,3,1,1.04,0.02,-0.019
KIC 2996004,171,50,1.038,0.021,-0.021
Kepler-773,2.3,1,1.032,0.02,-0.019
KOI-3021,2.9,1,1.03,0.024,-0.023
KIC 5446908,123,95,1.03,0.061,-0.057
Kepler-146,3.6,1,1.027,0.022,-0.022
KIC 4379301,261,107,1.024,0.024,-0.024
Kepler-906,2.7,1,1.013,0.025,-0.024
KOI-2741,0.8,1,1.008,0.018,-0.018
KIC 4566878,141,101,1.008,0.022,-0.021
Kepler-131,0.3,1,1.005,0.019,-0.018
Kepler-1656,2.8,1,1,0.018,-0.017
KIC 3957108,204,165,0.996,0.04,-0.038
Kepler-416,2.6,1,0.993,0.022,-0.021
KOI-3233,1.7,1,0.986,0.021,-0.02
KOI-4053,4.4,1,0.984,0.019,-0.019
KOI-5021,1.5,1,0.982,0.038,-0.036
Kepler-58,2.1,1,0.982,0.031,-0.03
Kepler-1552,2.5,1,0.981,0.026,-0.026
KIC 4379451,311,82,0.98,0.022,-0.022
Kepler-9,1.1,1,0.976,0.02,-0.019
Kepler-597,1.7,1,0.968,0.024,-0.023
KOI-1209,1.5,1,0.965,0.1,-0.079
Kepler-822,1.7,1,0.965,0.025,-0.024
KOI-2755,2.2,1,0.964,0.019,-0.019
KOI-2607,3.1,1,0.964,0.024,-0.023
KIC 5628536,242,42,0.964,0.039,-0.038
KIC 2969347,240,160,0.964,0.049,-0.046
Kepler-626,0.6,1,0.96,0.022,-0.021
Kepler-75,3.1,1,0.957,0.029,-0.028
KOI-5018,1.5,1,0.956,0.032,-0.029
Kepler-96,0.2,1,0.946,0.017,-0.016
Kepler-1576,6.4,1,0.936,0.017,-0.016
KIC 4914239,195,163,0.935,0.032,-0.03
Kepler-307,2,1,0.933,0.018,-0.018
Kepler-260,2.1,1,0.933,0.019,-0.019
KOI-2538,6.5,1,0.93,0.049,-0.043
KOI-4717,0.3,1,0.928,0.039,-0.036
KOI-3201,0.9,1,0.926,0.017,-0.016
Kepler-98,0.2,1,0.924,0.017,-0.017
KOI-3278,3.6,1,0.923,0.023,-0.023
KOI-3065,2.8,1,0.921,0.022,-0.022
Kepler-199,1.4,1,0.921,0.018,-0.017
Kepler-149,1.2,1,0.916,0.017,-0.017
KIC 5469689,134,146,0.914,0.025,-0.024
KOI-4659,1.3,1,0.911,0.019,-0.018
KOI-3823,1.5,1,0.911,0.013,-0.017
KOI-2915,0.8,1,0.91,0.017,-0.016
Kepler-88,0,1,0.91,0.016,-0.015
KOI-3876,9.9,1,0.908,0.017,-0.016
Kepler-198,3.1,1,0.908,0.018,-0.017
KOI-2158,1.8,1,0.905,0.018,-0.017
Kepler-556,0.8,1,0.905,0.019,-0.019
Kepler-542,0.4,1,0.904,0.018,-0.018
KOI-5085,0.9,1,0.902,0.046,-0.044
Kepler-1513,1.5,1,0.896,0.017,-0.016
KOI-1944,3.2,1,0.894,0.017,-0.017
KOI-3215,2.2,1,0.891,0.016,-0.016
Kepler-150,1.8,1,0.888,0.023,-0.022
Kepler-319,3.4,1,0.881,0.018,-0.018
Kepler-19,0,1,0.88,0.017,-0.016
KOI-103,0.2,1,0.875,0.017,-0.016
KOI-4004,6.9,1,0.873,0.017,-0.016
Kepler-1017,2,1,0.873,0.018,-0.017
KOI-3239,5.7,1,0.868,0.018,-0.019
KOI-1738,2.3,1,0.865,0.016,-0.015
Kepler-1310,1.1,1,0.865,0.014,-0.014
KOI-3225,2.3,1,0.861,0.016,-0.015
KOI-2441,294,95,0.861,0.02,-0.02
KIC 3853207,124,119,0.86,0.022,-0.021
KOI-2690,3.7,1,0.856,0.014,-0.013
