Name,vsini,e_vsini,prot,e_prot,Teff,e_Teff,Logg,e_Logg,FeH,e_FeH,Kepler Mag,e_Kepler Mag,Parallax,e_Parallax,iso_rad,iso_rad_err1,iso_rad_err2
KOI-4717,0.3,1,14.3002458,0.610177319,5668.5,60,4.481,0.1,-0.264,0.04,15.58,0.1,0.796834858,0.028575069,0.928,0.039,-0.036
KOI-4659,1.3,1,24.21957987,0.47732086,5599.7,60,4.464,0.1,-0.032,0.04,13.664,0.1,1.887719307,0.016631633,0.911,0.019,-0.018
KOI-4581,2.1,1,23.8745972,4.760854088,5848.7,60,4.238,0.1,0.07,0.04,13.549,0.1,1.436304859,0.014306795,1.155,0.026,-0.022
KOI-4546,3.4,1,40.44937381,15.37394658,5881.2,60,4.166,0.1,0.004,0.04,13.469,0.1,1.320213888,0.021091578,1.3,0.03,-0.031
KOI-4452,1.8,1,20.61427803,1.675968194,5748.4,60,4.076,0.1,-0.283,0.04,13.821,0.1,1.066565295,0.016482882,1.462,0.038,-0.037
KOI-4423,9.2,1,7.648009565,0.015742079,6259.6,60,4.119,0.1,-0.161,0.04,13.099,0.1,0.951803731,0.019069461,1.852,0.053,-0.052
KOI-4409,3.8,1,23.91850724,1.796338832,5893.8,60,4.229,0.1,0.214,0.04,12.515,0.1,2.197038423,0.027514573,1.214,0.027,-0.026
KOI-4367,7.7,1,9.650686334,3.856090553,6164.9,60,4.113,0.1,-0.148,0.04,13.985,0.1,0.831297538,0.018238205,1.45,0.045,-0.039
KOI-4323,11,1,26.93718763,4.229946031,6217.1,60,4.185,0.1,-0.103,0.04,13.582,0.1,0.930281921,0.015411538,1.714,0.048,-0.045
KOI-4157,10.2,1,6.019438571,0.562910509,6245.6,60,4.353,0.1,0.002,0.04,12.692,0.1,1.760793604,0.023364075,1.225,0.027,-0.026
KOI-4053,4.4,1,9.274859944,0.052791923,5966.2,60,4.384,0.1,-0.134,0.04,12.801,0.1,2.305037468,0.023226596,0.984,0.019,-0.019
KOI-403,10.1,1,20.88606636,2.11249856,6222.6,60,4.209,0.1,0.039,0.04,14.169,0.1,0.911502582,0.017319812,1.428,0.038,-0.041
KOI-4018,1.8,1,24.49536252,3.744856959,5482.9,60,4.606,0.1,-0.009,0.04,14.774,0.1,1.335954375,0.02548846,0.846,0.023,-0.022
KOI-4004,6.9,1,6.208445228,0.019732558,5739.3,60,4.679,0.1,-0.048,0.04,12.697,0.1,3.019942066,0.020399699,0.873,0.017,-0.016
KOI-3936,5.8,1,7.232307323,0.018402094,5081.2,60,4.658,0.1,0.167,0.04,13.336,0.1,3.598323565,0.015158053,0.764,0.012,-0.012
KOI-3880,14.3,1,4.238570351,0.013528526,6277,60,4.467,0.1,0.056,0.04,10.762,0.1,4.408882519,0.023535515,1.211,0.023,-0.022
KOI-388,3.9,1,38.48372831,6.728534744,5781.1,60,3.957,0.1,0.119,0.04,13.644,0.1,1.075623205,0.012928583,1.865,0.044,-0.044
KOI-3876,9.9,1,4.725579021,0.01106106,5720.1,60,4.637,0.1,0.115,0.04,12.624,0.1,3.035379837,0.022876506,0.908,0.017,-0.016
KOI-3864,4.4,1,9.665565654,0.033258739,5050.3,60,4.686,0.1,0.083,0.04,12.914,0.1,4.468756365,0.023947414,0.736,0.012,-0.012
KOI-3853,3.7,1,21.49674253,4.912994465,4930.8,60,3.566,0.1,-0.08,0.04,10.63,0.1,3.218456887,0.025168528,3.076,0.062,-0.062
KOI-3823,1.5,1,14.52383447,0.062917272,5657.1,60,4.553,0.1,0.107,0.04,13.922,0.1,1.676645155,0.015160567,0.911,0.013,-0.017
KOI-3811,4.4,1,20.96139188,4.205037326,5715.2,60,4.337,0.1,-0.194,0.04,13.906,0.1,1.129361887,0.016882455,1.463,0.039,-0.037
KOI-379,7.5,1,25.79399366,6.760727825,6175.6,60,4.057,0.1,0.17,0.04,13.319,0.1,0.800608746,0.016696108,2.193,0.062,-0.061
KOI-371,2.3,1,20.03846272,1.300132488,5182.6,60,3.678,0.1,0.138,0.04,12.193,0.1,1.338148144,0.029224094,3.255,0.091,-0.105
KOI-3641,3.3,1,25.87277081,3.070508939,6184.4,60,4.241,0.1,-0.091,0.04,13.944,0.1,0.797771186,0.048249304,1.731,0.11,-0.103
KOI-3421,7.8,1,10.7702805,0.225618366,6388.1,60,4.137,0.1,0.064,0.04,13.935,0.1,0.731844345,0.016992099,1.692,0.051,-0.052
KOI-3358,2.6,1,15.73664505,0.062617961,5312.8,60,4.496,0.1,-0.125,0.04,14.031,0.1,1.924495668,0.018166209,0.846,0.019,-0.018
KOI-3340,6.5,1,12.52437737,0.271381615,6092.8,60,4.326,0.1,-0.096,0.04,13.776,0.1,0.740725584,0.065584547,1.843,0.164,-0.155
KOI-3278,3.6,1,12.46278626,0.073037283,5467.8,60,4.555,0.1,0.204,0.04,14.71,0.1,1.269706318,0.021780186,0.923,0.023,-0.023
KOI-3239,5.7,1,5.029470994,0.016556498,5667.6,60,4.659,0.1,0.089,0.04,12.334,0.1,3.720101067,0.022246735,0.868,0.018,-0.019
KOI-3233,1.7,1,25.22121882,4.907791256,5730.8,60,4.408,0.1,0,0.04,12.267,0.1,3.052202931,0.027480417,0.986,0.021,-0.02
KOI-3225,2.3,1,13.04947053,0.498831481,5408.9,60,4.542,0.1,0.187,0.04,12.207,0.1,4.371080169,0.025425084,0.861,0.016,-0.015
KOI-3215,2.2,1,23.1,3.23,5602.2,60,4.289,0.1,0.117,0.04,12.023,0.1,4.333070746,0.023231705,0.891,0.016,-0.016
KOI-3202,3.2,1,27.2258375,4.235087669,5261.8,60,3.802,0.1,0.03,0.04,11.784,0.1,2.08271568,0.023873728,2.271,0.054,-0.055
KOI-3201,0.9,1,23.09147234,10.39854658,5699.5,60,4.466,0.1,-0.414,0.04,11.766,0.1,4.134880333,0.021492313,0.926,0.017,-0.016
KOI-3184,4.1,1,19.52602384,0.231121997,5906.7,60,4.193,0.1,0.265,0.04,11.158,0.1,3.451515437,0.02504114,1.45,0.028,-0.028
KOI-3180,4.9,1,17.0258967,1.739195951,6139,60,3.915,0.1,0.109,0.04,10.923,0.1,1.851763316,0.055068726,2.723,0.098,-0.089
KOI-3168,2.7,1,36.31311301,13.02927133,5802.8,60,4.119,0.1,-0.136,0.04,10.455,0.1,4.433143542,0.022668786,1.577,0.034,-0.033
KOI-3075,0.1,1,32.01916068,11.42241651,5321,60,4.517,0.1,-0.451,0.04,12.994,0.1,2.741811628,0.014380579,0.808,0.011,-0.011
KOI-3065,2.8,1,15.033,0.104,5718.5,60,4.557,0.1,-0.002,0.04,14.603,0.1,1.234758716,0.02005098,0.921,0.022,-0.022
KOI-3021,2.9,1,13.10338199,0.100588934,5878.6,60,4.441,0.1,0.205,0.04,13.7,0.1,1.493076936,0.016405235,1.03,0.024,-0.023
KOI-2979,1.9,1,27.22597289,6.23379717,5957,60,4.264,0.1,-0.175,0.04,13.328,0.1,1.452935775,0.016005332,1.24,0.028,-0.027
KOI-2974,13.2,1,10.7878357,0.017158399,6547,60,4.141,0.1,0.087,0.04,13.883,0.1,0.318527774,0.020094342,3.639,0.223,-0.204
KOI-2971,14.9,1,5.513,0.008,6273.5,60,4.198,0.1,0.185,0.04,12.742,0.1,1.266601165,0.026235414,1.696,0.046,-0.047
KOI-2970,5.1,1,9.449798751,0.144784356,6130.3,60,4.374,0.1,-0.074,0.04,12.861,0.1,1.859708586,0.023601197,1.123,0.024,-0.023
KOI-2915,0.8,1,34.77932088,4.238488702,5617.5,60,4.446,0.1,0.021,0.04,13.346,0.1,2.028032596,0.016286914,0.91,0.017,-0.016
KOI-2896,14.9,1,26.26673112,0.58451219,6232.6,60,4.473,0.1,-0.022,0.04,11.899,0.1,0.609157417,0.310710797,2.528,0.819,-0.708
KOI-2807,13.8,1,4.803765072,0.398620395,6400.1,60,4.288,0.1,0.16,0.04,13.91,0.1,0.923463262,0.018388187,1.426,0.04,-0.043
KOI-2763,2.9,1,26.667,0.311,4725.1,60,4.624,0.1,-0.014,0.04,15.397,0.1,1.685527575,0.026730914,0.714,0.016,-0.016
KOI-2755,2.2,1,42.47875504,8.60747928,5741.2,60,4.443,0.1,-0.153,0.04,12.147,0.1,3.37115501,0.019986298,0.964,0.019,-0.019
KOI-2752,7.6,1,11.64176608,5.731586116,6091.6,60,4.265,0.1,0.149,0.04,11.514,0.1,2.53849922,0.263203935,1.535,0.159,-0.147
KOI-2750,88.6,1,11.31728839,1.615146764,5952.3,60,3.981,0.1,-0.101,0.04,15.905,0.1,0.254562975,0.039085773,1.721,0.263,-0.231
KOI-2741,0.8,1,18.46279792,0.606033725,5851.8,60,4.376,0.1,0.063,0.04,13.009,0.1,2.124678109,0.018978223,1.008,0.018,-0.018
KOI-2740,6.8,1,17.41014581,0.374969996,5987.9,60,4.273,0.1,-0.273,0.04,13.617,0.1,0.804143228,0.020833451,1.95,0.065,-0.062
KOI-2690,3.7,1,12.36,0.007,5516.3,60,4.664,0.1,0.138,0.04,13.461,0.1,2.42689018,0.016365549,0.856,0.014,-0.013
KOI-268,8.5,1,7.873,0.001,6388.5,60,4.352,0.1,-0.016,0.04,10.56,0.1,3.857983396,0.03458978,1.515,0.033,-0.032
KOI-2676,4.6,1,32.88394191,5.393163152,6329.4,60,3.973,0.1,-0.067,0.04,13.56,0.1,0.709033801,0.01972153,2.536,0.088,-0.087
KOI-2607,3.1,1,16.02160177,0.150954019,5775.6,60,4.423,0.1,0.209,0.04,14.482,0.1,1.182399928,0.021035369,0.964,0.024,-0.023
KOI-2603,9.7,1,7.208496703,8.233035185,6277.5,60,4.094,0.1,-0.05,0.04,12.643,0.1,1.310003401,0.025168363,1.737,0.048,-0.046
KOI-2547,2.2,1,31.62439051,15.56965925,5924.8,60,4.361,0.1,-0.132,0.04,14.169,0.1,1.143697539,0.023182689,1.151,0.033,-0.031
KOI-2538,6.5,1,18.11,3.47,4971.5,60,4.538,0.1,-0.226,0.04,14.125,0.1,1.835377862,0.092953006,0.93,0.049,-0.043
KOI-2490,126,37,22.749,0.06,4962,209,4.59,0.14,0.09,,15.701,0.1,1.379275312,0.033463762,0.697,0.021,-0.02
KOI-2481,4.1,1,4.979335283,0.190089005,4807.2,60,3.087,0.1,0.159,0.04,13.605,0.1,0.248801312,0.016712996,11.406,0.696,-0.693
KOI-2462,5.7,1,22.60355482,2.252861939,5975.1,60,4.044,0.1,0.089,0.04,11.821,0.1,2.187552344,0.023470469,1.684,0.039,-0.041
KOI-2441,294,95,19.82,3.24,5211,168,4.45,0.27,-0.13,,14.287,0.1,1.716138448,0.02373853,0.861,0.02,-0.02
KOI-2393,1.1,1,34.51186194,2.480289289,4835.1,60,4.633,0.1,-0.069,0.04,14.903,0.1,1.970338788,0.032466955,0.727,0.018,-0.018
KOI-2370,19.1,1,1.776,0.002,6447.1,60,4.391,0.1,-0.129,0.04,13.003,0.1,1.40266013,0.021906853,1.295,0.031,-0.028
KOI-2358,13.6,1,5.831,0.025,6281.8,60,4.132,0.1,0.206,0.04,13.524,0.1,0.917614551,0.017037619,1.582,0.042,-0.04
KOI-2332,2.3,1,2.252672447,11.80645993,5189.5,60,3.856,0.1,-0.049,0.04,13.024,0.1,1.428026538,0.016558557,1.921,0.042,-0.042
KOI-2201,7.4,1,11.8838738,0.136833916,6119.9,60,4.144,0.1,0.201,0.04,13.806,0.1,0.795969832,0.017091759,1.777,0.054,-0.052
KOI-2158,1.8,1,34.78628385,6.46912382,5330.4,60,4.348,0.1,0.001,0.04,13.052,0.1,2.824619557,0.016913383,0.905,0.018,-0.017
KOI-2120,2.7,1,19.883,0.015,5027.2,60,4.628,0.1,-0.069,0.04,13.714,0.1,3.193677062,0.015897811,0.719,0.014,-0.013
KOI-2084,223,86,9.592,0.003,5014,198,4.58,0.24,0.04,,15.168,0.1,1.635537299,0.0265633,0.715,0.015,-0.015
KOI-2081,2.8,1,1.069434568,0.671489784,5077.5,60,3.571,0.1,0.182,0.04,13.439,0.1,0.763019933,0.014470806,3.402,0.095,-0.095
KOI-2043,2.4,1,12.0753341,0.181024723,5816.4,60,4.228,0.1,0.013,0.04,14.087,0.1,1.128923702,0.017685892,1.168,0.032,-0.031
KOI-2009,1.3,1,21.31822153,4.187529158,5617.9,60,4.369,0.1,-0.233,0.04,13.82,0.1,1.476151641,0.017803141,1.072,0.026,-0.025
KOI-1962,4.6,1,27.4513463,5.636451466,5909.6,60,4.12,0.1,-0.052,0.04,10.77,0.1,0.908085372,0.329997931,4.327,1.999,-1.395
KOI-1944,3.2,1,13.543,0.017,5739.3,60,4.585,0.1,0.074,0.04,13.982,0.1,1.586363478,0.015893579,0.894,0.017,-0.017
KOI-1897,2.2,1,25.68463913,0.458500471,5880,60,4.3,0.1,-0.095,0.04,13.952,0.1,1.195883673,0.017577816,1.148,0.029,-0.028
KOI-1878,6.9,1,13.082306,4.183843964,6190.3,60,4.276,0.1,0.152,0.04,12.988,0.1,1.439240016,0.020748649,1.352,0.034,-0.031
KOI-1864,2.1,1,26.10420516,0.554897941,5619.6,60,3.929,0.1,0.12,0.04,13.405,0.1,1.118626096,0.016108677,1.782,0.045,-0.041
KOI-1861,7.7,1,6.524,0.007,6020.1,60,4.579,0.1,0.029,0.04,13.926,0.1,1.327702218,0.017314089,1.04,0.018,-0.023
KOI-1822,4.5,1,11.534,0.07,6090.4,60,4.45,0.1,-0.199,0.04,12.443,0.1,2.527956332,0.028930516,1.04,0.021,-0.02
KOI-1803,2.8,1,22.96099097,0.233227929,4979.2,60,4.675,0.1,0.067,0.04,13.26,0.1,4.089759669,0.013943913,0.736,0.012,-0.011
KOI-1738,2.3,1,35.873,1.281,5286.6,60,4.461,0.1,0.237,0.04,13.293,0.1,2.771831735,0.016780999,0.865,0.016,-0.015
KOI-1666,14.2,1,16.58049814,6.951499663,6434.5,60,4.384,0.1,0.116,0.04,14.479,0.1,0.693549046,0.021201331,1.326,0.046,-0.046
KOI-1619,2.7,1,25.58,2.25,4847,60,4.612,0.1,-0.257,0.04,11.759,0.1,8.370217392,0.027215268,0.724,0.012,-0.012
KOI-1590,2.9,1,29.79,3.38,4867.2,60,4.65,0.1,-0.077,0.04,15.674,0.1,1.367975087,0.155556131,0.754,0.052,-0.045
KOI-1546,4.9,1,0.913,0,6179,60,4.314,0.1,-0.002,0.04,14.456,0.1,2.753047042,0.299274424,0.683,0.012,-0.02
KOI-1222,3.1,1,2.322236242,2.853980944,5082.3,60,3.536,0.1,0.091,0.04,12.203,0.1,1.244757215,0.024104744,3.53,0.095,-0.099
KOI-1209,1.5,1,6.776635351,0.730474832,5773.6,60,4.375,0.1,0.061,0.04,15.166,0.1,1.002760484,0.112645099,0.965,0.1,-0.079
KOI-1208,8.1,1,22.57704379,6.663991361,6417.1,60,4.157,0.1,-0.065,0.04,13.594,0.1,0.467635949,0.071393402,2.674,0.372,-0.335
KOI-1206,5.3,1,28.33374143,10.48094934,5834.4,60,3.818,0.1,0.119,0.04,13.642,0.1,0.609235287,0.018187622,2.735,0.096,-0.095
KOI-1032,3.2,1,3.291017735,0.036821125,4921.4,60,3.621,0.1,0.076,0.04,13.862,0.1,0.902485027,0.014562837,2.64,0.07,-0.07
KOI-103,0.2,1,23.156,0.155,5565.2,60,4.536,0.1,0.008,0.04,12.593,0.1,3.247965165,0.025220589,0.875,0.017,-0.016
KOI-1010,7.5,1,9.536,0.027,6103.6,60,4.199,0.1,-0.063,0.04,13.62,0.1,0.986063558,0.015965364,1.595,0.042,-0.04
KIC 5716073,232,67,28.104,0.191,4037,130,4.62,0.12,-0.23,,15,0.1,3.744133095,0.02349115,0.604,0.018,-0.019
KIC 5709582,225,146,4.754,0.004,4956,240,2.92,0.46,-0.16,,14.977,0.1,0.916964594,0.0265822,1.07,0.039,-0.036
KIC 5708183,225,64,10.734,0.075,4866,261,4.5,0.34,-0.03,,15.1,0.1,0.458883202,0.143591666,0.64,0.017,-0.025
KIC 5682521,222,38,6.923,0.082,5650,120,4.3,0.16,-0.43,,14.683,0.1,0.964971817,0.029928759,1.249,0.049,-0.047
KIC 5637994,194,74,3.689,0.005,6211,188,4.15,0.12,-0.29,,13.763,0.1,1.100521732,0.017870768,1.219,0.031,-0.031
KIC 5628536,242,42,15.577,0.3,5483,245,4.05,0.21,0.02,,15.267,0.1,0.870273351,0.028128555,0.964,0.039,-0.038
KIC 5613039,213,86,16.241,0.024,4106,159,4.65,0.19,-0.17,,15.159,0.1,2.607409757,0.023947601,0.634,0.012,-0.013
KIC 5602310,325,96,48.152,11.847,3433,77,0.66,0.27,-0.06,,15.462,0.1,6.692329538,0.132883695,0.464,0.013,-0.012
KIC 5567711,159,101,1.797,,11260,941,3.95,0.14,-0.03,,13.324,0.1,0.314838388,0.020977342,3.129,0.23,-0.218
KIC 5552761,258,163,2.799,0.024,6540,119,4.13,0.12,-0.27,,13.812,0.1,0.622180437,0.017116305,2.071,0.048,-0.072
KIC 5551661,122,122,21.066,0.051,6328,123,4.14,0.13,-0.29,,13.387,0.1,1.065348092,0.015026393,1.588,0.039,-0.041
KIC 5531657,124,70,9.968,,6835,223,4.06,0.14,-0.11,,13.386,0.1,0.757976827,0.01455862,1.924,0.055,-0.053
KIC 5530330,152,127,4.464,0.033,6075,152,4.17,0.13,-0.5,,13.686,0.1,0.947364814,0.016760456,1.407,0.038,-0.04
KIC 5522608,135,116,23.914,0.222,5156,172,4.6,0.15,0.02,,15.004,0.1,1.714763655,0.021525075,0.755,0.016,-0.016
KIC 5477601,123,81,5.21,,11092,657,4,0.13,-0.04,,12.793,0.1,0.44124765,0.027024237,2.529,0.167,-0.158
KIC 5469689,134,146,14.135,0.271,5336,280,3.72,0.57,-0.08,,14.913,0.1,1.125574176,0.022603132,0.914,0.025,-0.024
KIC 5467710,134,139,8.611,0.066,5836,113,4.19,0.14,0,,14.928,0.1,2.189746143,0.254102363,0.698,0.02,-0.027
KIC 5462650,169,51,26.333,0.201,4528,263,2.56,0.63,-0.09,,15.868,0.1,1.253684164,0.039711274,0.712,0.026,-0.025
KIC 5450680,191,141,26.954,0.444,6211,95,4.16,0.15,-0.18,,14.784,0.1,0.036639781,0.09834248,1.398,0.635,-0.304
KIC 5446908,123,95,24.92,0.313,5194,254,4.14,0.33,-0.1,,15.454,0.1,0.808994952,0.042985118,1.03,0.061,-0.057
KIC 5446821,230,119,0.652,0.004,4158,235,4.63,0.2,-0.17,,15.34,0.1,2.602474129,0.031291949,0.641,0.015,-0.014
KIC 5446798,400,0,19.947,0.22,14021,1692,3.93,0.18,0.03,,13.383,0.1,0.50128208,0.17110574,2.453,0.643,-0.561
KIC 5360478,167,111,6.888,0.035,5927,197,4.17,0.16,-0.39,,15.141,0.1,0.44173443,0.029047135,1.675,0.119,-0.11
