Kepler-84,4.5,1,1.196,0.464,-0.233
Kepler-506,7.5,1,1.195,0.023,-0.022
Kepler-624,4,1,1.187,0.03,-0.028
Kepler-1393,2.3,1,1.182,0.144,-0.12
Kepler-1224,5.3,1,1.18,0.026,-0.025
KOI-5159,4.4,1,1.177,0.044,-0.043
KOI-2043,2.4,1,1.168,0.032,-0.031
Kepler-377,2.6,1,1.168,0.027,-0.028
Kepler-1271,4.4,1,1.165,0.034,-0.033
Kepler-1316,3,1,1.162,0.026,-0.025
Kepler-746,1.7,1,1.161,0.414,-0.256
KOI-4581,2.1,1,1.155,0.026,-0.022
KOI-2547,2.2,1,1.151,0.033,-0.031
KOI-5135,3.1,1,1.15,0.058,-0.055
KOI-1897,2.2,1,1.148,0.029,-0.028
Kepler-1211,2.9,1,1.129,0.087,-0.079
KOI-2970,5.1,1,1.123,0.024,-0.023
Kepler-130,0.9,1,1.118,0.023,-0.023
KOI-635,6,1,1.107,0.025,-0.023
Kepler-1276,6.2,1,1.104,0.024,-0.022
Kepler-157,1.5,1,1.102,0.03,-0.029
Kepler-24,25.2,1,1.099,0.039,-0.037
Kepler-545,1.7,1,1.098,0.029,-0.028
Kepler-418,2.5,1,1.089,0.032,-0.03
Kepler-323,3.1,1,1.085,0.026,-0.026
Kepler-1602,4.2,1,1.078,0.023,-0.022
KOI-2009,1.3,1,1.072,0.026,-0.025
Kepler-454,0.5,1,1.068,0.021,-0.019
Kepler-1601,2.1,1,1.048,0.022,-0.022
KOI-1861,7.7,1,1.04,0.018,-0.023
KOI-1822,4.5,1,1.04,0.021,-0.02
Kepler-1655,3,1,1.04,0.02,-0.019
Kepler-773,2.3,1,1.032,0.02,-0.019
KOI-3021,2.9,1,1.03,0.024,-0.023
Kepler-146,3.6,1,1.027,0.022,-0.022
Kepler-906,2.7,1,1.013,0.025,-0.024
KOI-2741,0.8,1,1.008,0.018,-0.018
Kepler-131,0.3,1,1.005,0.019,-0.018
Kepler-1656,2.8,1,1,0.018,-0.017
Kepler-416,2.6,1,0.993,0.022,-0.021
KOI-3233,1.7,1,0.986,0.021,-0.02
KOI-4053,4.4,1,0.984,0.019,-0.019
KOI-5021,1.5,1,0.982,0.038,-0.036
Kepler-58,2.1,1,0.982,0.031,-0.03
Kepler-1552,2.5,1,0.981,0.026,-0.026
Kepler-9,1.1,1,0.976,0.02,-0.019
Kepler-597,1.7,1,0.968,0.024,-0.023
KOI-1209,1.5,1,0.965,0.1,-0.079
Kepler-822,1.7,1,0.965,0.025,-0.024
KOI-2755,2.2,1,0.964,0.019,-0.019
KOI-2607,3.1,1,0.964,0.024,-0.023
Kepler-626,0.6,1,0.96,0.022,-0.021
Kepler-75,3.1,1,0.957,0.029,-0.028
KOI-5018,1.5,1,0.956,0.032,-0.029
Kepler-96,0.2,1,0.946,0.017,-0.016
Kepler-1576,6.4,1,0.936,0.017,-0.016
Kepler-307,2,1,0.933,0.018,-0.018
Kepler-260,2.1,1,0.933,0.019,-0.019
KOI-2538,6.5,1,0.93,0.049,-0.043
KOI-4717,0.3,1,0.928,0.039,-0.036
KOI-3201,0.9,1,0.926,0.017,-0.016
Kepler-98,0.2,1,0.924,0.017,-0.017
KOI-3278,3.6,1,0.923,0.023,-0.023
KOI-3065,2.8,1,0.921,0.022,-0.022
Kepler-199,1.4,1,0.921,0.018,-0.017
Kepler-149,1.2,1,0.916,0.017,-0.017
KOI-4659,1.3,1,0.911,0.019,-0.018
KOI-3823,1.5,1,0.911,0.013,-0.017
KOI-2915,0.8,1,0.91,0.017,-0.016
Kepler-88,0,1,0.91,0.016,-0.015
KOI-3876,9.9,1,0.908,0.017,-0.016
Kepler-198,3.1,1,0.908,0.018,-0.017
KOI-2158,1.8,1,0.905,0.018,-0.017
Kepler-556,0.8,1,0.905,0.019,-0.019
Kepler-542,0.4,1,0.904,0.018,-0.018
KOI-5085,0.9,1,0.902,0.046,-0.044
Kepler-1513,1.5,1,0.896,0.017,-0.016
KOI-1944,3.2,1,0.894,0.017,-0.017
KOI-3215,2.2,1,0.891,0.016,-0.016
Kepler-150,1.8,1,0.888,0.023,-0.022
Kepler-319,3.4,1,0.881,0.018,-0.018
Kepler-19,0,1,0.88,0.017,-0.016
KOI-103,0.2,1,0.875,0.017,-0.016
KOI-4004,6.9,1,0.873,0.017,-0.016
Kepler-1017,2,1,0.873,0.018,-0.017
KOI-3239,5.7,1,0.868,0.018,-0.019
KOI-1738,2.3,1,0.865,0.016,-0.015
Kepler-1310,1.1,1,0.865,0.014,-0.014
KOI-3225,2.3,1,0.861,0.016,-0.015
KOI-2690,3.7,1,0.856,0.014,-0.013
Kepler-30,2.3,1,0.856,0.029,-0.027
Kepler-1277,1.3,1,0.854,0.019,-0.017
Kepler-598,1,1,0.85,0.021,-0.02
KOI-4018,1.8,1,0.846,0.023,-0.022
KOI-3358,2.6,1,0.846,0.019,-0.018
Kepler-629,0.6,1,0.841,0.015,-0.015
Kepler-1600,1.5,1,0.84,0.033,-0.03
Kepler-1139,2.5,1,0.826,0.016,-0.015
Kepler-964,4.5,1,0.823,0.016,-0.016
KOI-4774,1.5,1,0.819,0.016,-0.015
Kepler-156,2.6,1,0.819,0.015,-0.015
KOI-4746,4.6,1,0.812,0.063,-0.052
KOI-3075,0.1,1,0.808,0.011,-0.011
Kepler-475,1.3,1,0.796,0.014,-0.013
Kepler-472,2.9,1,0.794,0.013,-0.013
Kepler-305,2,1,0.792,0.025,-0.024
Kepler-1107,3.6,1,0.792,0.015,-0.014
Kepler-240,2.8,1,0.781,0.02,-0.018
Kepler-975,2.8,1,0.778,0.013,-0.013
Kepler-239,1.7,1,0.772,0.02,-0.018
Kepler-1164,3.1,1,0.77,0.011,-0.01
Kepler-306,2.2,1,0.769,0.023,-0.022
Kepler-261,3.3,1,0.766,0.013,-0.013
Kepler-237,2,1,0.766,0.019,-0.019
KOI-3936,5.8,1,0.764,0.012,-0.012
Kepler-479,0.6,1,0.758,0.012,-0.012
KOI-1590,2.9,1,0.754,0.052,-0.045
Kepler-489,1.9,1,0.752,0.014,-0.013
Kepler-169,2.7,1,0.75,0.013,-0.013
Kepler-1566,0.9,1,0.744,0.015,-0.014
Kepler-263,2.1,1,0.737,0.021,-0.019
KOI-3864,4.4,1,0.736,0.012,-0.012
KOI-1803,2.8,1,0.736,0.012,-0.011
KOI-2393,1.1,1,0.727,0.018,-0.018
KOI-1619,2.7,1,0.724,0.012,-0.012
Kepler-786,2.3,1,0.721,0.015,-0.015
KOI-2120,2.7,1,0.719,0.014,-0.013
Kepler-1521,4.9,1,0.716,0.014,-0.014
KOI-4841,2.7,1,0.715,0.027,-0.028
KOI-2763,2.9,1,0.714,0.016,-0.016
Kepler-80,3.5,1,0.701,0.012,-0.012
Kepler-543,3.2,1,0.7,0.012,-0.012
KOI-1546,4.9,1,0.683,0.012,-0.02
Kepler-304,3.5,1,0.679,0.015,-0.015
KOI-5039,1.7,1,0.675,0.026,-0.024
Kepler-159,4.4,1,0.673,0.012,-0.012
