Simbad,vsini,e_vsini
TYC 9378-668-1,6.025358735,0.766853761
TYC 9378-498-1,7.428227905,0.480821553
TYC 9378-437-1,5.581592493,2
TYC 9378-402-1,7.275945688,0.951960821
TYC 9378-376-1,6.925756719,2
TYC 9378-344-1,8.691886704,0.600258917
TYC 9378-343-1,3.901456107,2
TYC 9378-1420-1,7.10723234,0.765350068
TYC 9378-1415-1,10.00605183,0.672098311
TYC 9378-1404-1,8.631715472,2
TYC 9378-1376-1,13.74598781,1.975247188
TYC 9378-1375-1,8.97274984,2
TYC 9378-1373-1,4.955026028,0.520386162
TYC 9378-1332-1,7.622263947,0.541145016
TYC 9378-1232-1,13.32893598,1.252656424
TYC 9378-1172-1,14.41782944,1.375780731
TYC 9378-112-1,5.760241744,1.136784967
TYC 9378-107-1,5.465546528,1.636548176
TYC 9378-1051-1,7.581562481,2
TYC 9365-936-1,5.266686685,0.561825375
TYC 9365-928-1,5.303377275,0.505999879
TYC 9365-896-1,5.687076296,0.557989566
TYC 9365-726-1,5.611742094,0.877367177
TYC 9365-656-1,8.901922731,0.700837648
TYC 9365-654-1,10.13374162,0.599165613
TYC 9365-606-1,8.723445792,0.82528728
TYC 9365-432-1,6.696987904,0.478991139
TYC 9364-1325-1,5.902382255,0.526223419
TYC 9364-1012-1,7.676028416,1.281617155
TYC 9192-934-1,10.56879332,0.476978818
TYC 9192-498-1,4.79542742,0.485143763
TYC 9192-410-1,9.592412259,0.895975755
TYC 9192-325-1,4.69503435,0.465654804
TYC 9192-235-1,5.73552971,0.509766283
TYC 9191-981-1,7.709900406,0.52762134
TYC 9191-893-1,19.99929644,0.466792012
TYC 9191-793-1,6.248797056,0.486103701
TYC 9191-706-1,13.47429,0.821180686
TYC 9191-621-1,3.636378544,1.312648888
TYC 9191-583-1,12.74734335,0.466003209
TYC 9191-473-1,4.444794742,0.466476925
TYC 9191-407-1,8.13268272,2
TYC 9191-388-1,5.96414001,0.505662971
TYC 9191-362-1,9.108459134,0.678884983
TYC 9191-357-1,4.571309803,0.469627389
TYC 9191-356-1,12.67787887,0.551503526
TYC 9191-27-1,4.5088978,0.471162196
TYC 9191-260-1,7.979941566,2
TYC 9191-239-1,4.2377919,0.648204172
TYC 9191-191-1,9.453160942,1.609152572
TYC 9191-178-1,13.2513288,0.714998266
TYC 9191-153-1,10.67361222,0.754624409
TYC 9191-1338-1,6.295807318,0.469026187
TYC 9191-1325-1,5.609990613,0.551376977
TYC 9191-1320-1,5.25765051,0.46688362
TYC 9191-1262-1,16.84377868,2
TYC 9191-1238-1,5.375739911,0.547596965
TYC 9191-12-1,9.833883404,0.467725455
TYC 9191-119-1,10.49406084,0.600741821
TYC 9191-1177-1,8.373313218,0.521658243
TYC 9191-1160-1,5.266740896,0.465320464
TYC 9191-1143-1,7.119937316,0.523721782
TYC 9191-1110-1,4.823737997,0.481177849
TYC 9191-1071-1,6.972399503,0.528577334
TYC 9190-989-1,10.05643419,2
TYC 9190-969-1,6.542971243,1.66936443
TYC 9190-942-1,10.90342978,0.651861621
TYC 9190-935-1,9.015954958,1.117045258
TYC 9190-912-1,4.70152839,0.479256904
TYC 9190-909-1,7.652208166,1.006449386
TYC 9190-824-1,5.072061398,0.527431128
TYC 9190-821-1,7.121031057,2
TYC 9190-754-1,10.31608318,0.708862024
TYC 9190-74-1,6.304955411,0.499601425
TYC 9190-682-1,12.63623732,1.072741088
TYC 9190-669-1,5.478571605,0.807464072
TYC 9190-658-1,10.14678724,0.610564014
TYC 9190-532-1,9.745375835,0.75466427
TYC 9190-428-1,5.581382009,2
TYC 9190-389-1,5.774592069,2
TYC 9190-346-1,9.444281942,1.296920132
TYC 9190-34-1,6.809633172,2
TYC 9190-304-1,5.1880817,0.484256833
TYC 9190-217-1,9.210841851,2
TYC 9190-212-1,6.63935126,0.498404122
TYC 9190-134-1,8.251976603,0.901723589
TYC 9190-13-1,8.476942932,2
TYC 9190-124-1,15.12765743,1.360365485
TYC 9190-1174-1,10.3142469,0.573041175
TYC 9190-1151-1,9.354441109,1.446997963
TYC 9190-1150-1,4.396992243,2
TYC 9190-1028-1,6.42525869,0.509090278
TYC 9189-906-1,4.005074945,1.662328008
TYC 9189-903-1,4.347239676,0.83761477
TYC 9189-862-1,5.112036609,2
TYC 9189-837-1,7.303875956,2
TYC 9189-815-1,7.89221363,1.426126651
TYC 9189-656-1,7.863344939,0.982553706
TYC 9189-604-1,6.068517969,0.70696116
TYC 9189-515-1,4.838600882,0.526074617
TYC 9189-502-1,6.053230854,1.489120025
TYC 9189-434-1,6.492876207,0.924050914
TYC 9189-400-1,8.274773543,1.565049578
TYC 9189-347-1,13.657472,2
TYC 9189-289-1,15.50445334,2
TYC 9189-118-1,5.226665483,2
TYC 9188-84-1,7.207431659,0.75211195
TYC 9188-736-1,8.273892212,0.549108195
TYC 9188-652-1,8.552431837,0.494318525
TYC 9188-599-1,9.396710134,0.467859728
TYC 9188-452-1,15.76591005,0.624805966
TYC 9188-421-1,5.710768487,0.46746048
TYC 9188-390-1,8.39838423,0.689355152
TYC 9188-1537-1,6.611068637,0.97740932
TYC 9188-1310-1,4.193784163,0.477464986
TYC 9187-995-1,6.74950713,0.786472217
TYC 9187-902-1,5.31912699,0.597866975
