Simbad,vsini
2MASS J08500540-7554380,
2MASS J12454884-5410583,
2MASS J13140112-6846384,
2MASS J14104963-2355290,
2MASS J15304790-3022054,
BD-01 2318,
BD-03 2892,
BD-04 2994,
BD-12 243,
BD-13 3153,
BD-16 6129,
BD-17 1085,
BD-19 3018,
CD-24 8341,
CD-25 1599,
CD-26 1578,
CD-27 963,
CD-28 3484,
CD-28 7948,
CD-29 2164,
CD-30 12033,
CD-30 19800,
CD-31 1688,
CD-33 11099,
CD-33 2281,
CD-33 3188A,
CD-34 10971,
CD-35 10498,
CD-35 10827,
CD-35 926,
CD-36 1309,
CD-37 1123,
CD-37 1224,
CD-37 1559,
CD-37 2984,
CD-38 2198,
CD-38 6968,
CD-39 10162,
CD-40 14901,
CD-40 2458,
CD-40 7581,
CD-42 1064,
CD-42 3328,
CD-42 6814,
CD-42 7422,
CD-43 9198,
CD-44 1568,
CD-44 2217,
CD-45 8100,
CD-46 9327,
CD-47 8710,
CD-48 1289,
CD-48 2844,
CD-49 4008,
CD-49 8410,
CD-50 245,
CD-50 6815,
CD-51 10295,
CD-51 7268,
CD-51 7878,
CD-52 10232,
CD-52 1363,
CD-52 1641,
CD-54 1693,
CD-54 2644,
CD-54 5780,
CD-54 7336,
CD-55 4499,
CD-55 899,
CD-57 1654,
CD-57 1709,
CD-57 4328,
CD-60 1850,
CD-61 2010,
CD-63 408,
CD-66 395,
CD-69 1055,
CD-69 783,
CD-77 76,
CD-78 516,
CD-79 137,
CD-84 117,
CD-84 80,
2MASS J02121871-1330419,
2MASS J06202314-6135561,
2MASS J06370823-4535266,
CPD-49 4947,
CPD-52 2481,
CPD-53 5235,
CPD-54 1712,
CPD-55 1885,
CPD-57 1131,
CPD-63 1286,
CPD-63 2126,
CPD-66 2366,
CPD-68 1388,
CPD-68 1894,
CPD-69 1926,
CPD-69 912,
CPD-79 1037,
GSC 05289-01010,
GSC 08912-01753,
HD 10922,
HD 110817,
HD 120395,
HD 125328,
HD 126670,
HD 13183,
HD 133938,
HD 136122,
HD 143637,
HD 144732,
HD 15045,
HD 155915,
HD 156097,
HD 157963,
HD 163029,
HD 17781,
HD 177996,
HD 180445,
HD 180524,
HD 18134,
HD 183253,
HD 19491,
HD 198610,
HD 202917,
HD 205297,
HD 211862,
HD 215964,
HD 217344A,
HD 218203,
HD 221224A,
HD 22213,
HD 223728,
HD 224374,
HD 23208,
HD 24329,
HD 25156,
HD 26864,
HD 269406,
HD 26980,
HD 269921,
HD 270614,
HD 271037,
HD 272836,
HD 274263,
HD 274576,
HD 275012,
HD 27679,
HD 295290,
HD 297669,
HD 297762,
HD 30689,
HD 307772,
HD 309751,
HD 31026,
HD 32195,
HD 321958,
HD 32372,
HD 329929,
HD 34866,
HD 36705,
HD 37551A,
HD 39012,
HD 42270,
HD 44627,
HD 46670,
HD 46920,
HD 47875,
HD 48139,
HD 48189,
HD 49078B,
HD 49855,
HD 51797,
HD 55279,
HD 62237,
HD 71864,
HD 77883,
HD 83988,
HD 8558,
HD 987,
NAME HD 170132AB,
RX J0523.2-5751,
TYC 7066-1037-1,
TYC 7627-2190-1,
TYC 8511-2197-1,
TYC 8549-141-1,
TYC 8557-1251-1,
TYC 8570-1980-1,
TYC 8696-1949-1,
TYC 8984-2245-1,
V* AF Cru,
V* AG Lep,
V* AI Lep,
V* AT Col,
V* CC Phe,
V* CS Gru,
V* KN Lup,
V* LT Lup,
V* LY Lup,
V* TY Col,
V* V479 Car,
V* V570 Car,
V* V909 Car,
V* VZ Ret,
V* XZ Pic,
22011809,
295911223,
364588501,
[BHR2005] 72,
[FS2003] 0345,
[PS78] 99,
[W60] A68,
1SWASP J203337.61-255651.7,
2MASS J00155556-6137519,
2MASS J00171443-7032021,
2MASS J00235732-5531435,
2MASS J00285473-2733337,
2MASS J00332438-5116433,
2MASS J00393579-3816584,
2MASS J00394063-6224125,
2MASS J00485254-6526330,
2MASS J01105042-4600141,
2MASS J01180670-6258591,
2MASS J01211297-6117281,
2MASS J01233280-4113110,
2MASS J01294256-0823580,
2MASS J01443191-4604318,
2MASS J01453063-5230195,
2MASS J01462935-5339325,
2MASS J01504543-5716488,
2MASS J01505688-5844032,
2MASS J01532494-6833226,
2MASS J01562075-2615201,
2MASS J02070786-1810077,
2MASS J02125819-5851182,
2MASS J02153328-5627175,
2MASS J02192210-3925225,
2MASS J02321934-5746117,
2MASS J02474639-5804272,
2MASS J02492136-4416063,
2MASS J02564708-6343027,
2MASS J02590284-6120000,
2MASS J03050556-5317182,
2MASS J03050976-3725058,
2MASS J03152363-5342539,
2MASS J03210395-6816475,
2MASS J03320347-5139550,
2MASS J03454058-7509121,
2MASS J04074372-6825111,
2MASS J04240094-5512223,
2MASS J04363294-7851021,
2MASS J04470041-5134405,
2MASS J05164586-5410168,
2MASS J05263106-6022389,
2MASS J07322808-7445520,
2MASS J07420784-6243554,
2MASS J21100614-5811483,
2MASS J21143354-4213528,
2MASS J21163528-6005124,
2MASS J21173406-4444358,
2MASS J21362489-2049164,
2MASS J21490499-6413039,
2MASS J21504048-5113380,
2MASS J21512880-2807482,
2MASS J23143092-5405313,
2MASS J23170011-7432095,
2MASS J23291752-6749598,
2MASS J23424333-6224564,
2MASS J23452225-7126505,
2MASS J23532556-1844402,
AL 442,
ASAS J004211-4252.7,
Barta 161 12,
BPM 45048,
BPM 68724,
BPS CS 22882-0010,
BPS CS 22956-0074,
CD-39 325,
CD-47 277,
CD-56 1032B,
CD-57 1054,
EM* StHA 182,
EXO 0235.2-5216,
FBS 0018-143,
G 267-100,
G 267-34,
G 269-153,
G 271-110,
G 271-42,
GJ 2006 A,
GR* 239,
GR* 30,
GR* 9,
GSC 04683-02117,
GSC 08044-00859,
GSC 08494-00369,
GSC 08859-00633,
GSC 08894-00426,
HD 270712,
L 173-39,
L 34-26,
LEHPM 5031,
LEHPM 5245,
LP 586-73,
LP 705-28,
LP 764-40,
LP 768-113,
PM J01538-1459,
RBS 1877,
Smethells 119,
Smethells 165,
Smethells 173,
TYC 6967-699-1,
TYC 6994-23-1,
TYC 8543-967-1,
UCAC2 1093148,
UCAC2 1442145,
UCAC3 112-6119,
UCAC3 33-129092,
UCAC3 52-533,
UCAC3 53-1665,
UCAC3 53-724,
UCAC3 60-548,
UCAC3 73-5376,
UCAC3 73-5378,
UCAC3 92-4597,
UCAC4 073-002133,
UCAC4 110-129613,
UCAC4 114-133248,
UCAC4 137-000439,
UCAC4 149-002104,
UCAC4 159-002053,
UCAC4 172-003319,
UCAC4 204-001345,
UCAC4 265-194917,
UCAC4 329-000876,
UCAC4 334-002479,
UCAC4 420-002082,
UPM J0027-6157,
UPM J0042-5444,
UPM J0113-5939,
UPM J0122-6318,
UPM J0234-5128,
UPM J2222-6303,
WISE J020020.08-661402.0,
WISE J024127.29-304915.1,
WISE J025022.35-654555.2,
WISE J025531.87-570252.3,
WISE J030839.55-384436.3,
WISE J035122.95-515458.1,
WOH S 209,
WOH S 6,
11614485,
231267979,
259845346,
289840926,
289840928,
