Simbad,Flares
UCAC3 59-9025,
UCAC3 54-11609,
TYC 8912-1307-1,
TYC 8908-1371-1,
TYC 8903-1189-1,
TYC 8902-1395-1,
TYC 8899-48-1,
TYC 8899-125-1,
TYC 8897-809-1,
TYC 8893-1942-1,
TYC 8881-669-1,
TYC 8880-317-1,
TYC 8879-978-1,
TYC 8877-411-1,
TYC 8872-629-1,
TYC 8872-565-1,
TYC 8869-30-1,
TYC 8869-1106-1,
TYC 8549-912-1,
TYC 8548-941-1,
TYC 8548-191-1,
TYC 8548-1411-1,
TYC 8547-1197-1,
TYC 8547-10-1,
TYC 8545-843-1,
TYC 8544-679-1,
TYC 8543-317-1,
TYC 8543-1672-1,
TYC 8531-1064-1,
TYC 8527-589-1,
TYC 8515-765-1,
TYC 8513-436-1,
TYC 8513-1630-1,
TYC 8513-1398-1,
TYC 8513-1246-1,
HD 63433,
HD 224286,
HD 213885,
HD 15337,
CPD-63 344,
CPD-63 341,
CPD-62 385,
CPD-62 352,
2MASS J04592833-5555451,
2MASS J04570814-5703146,
2MASS J04390913-5817385,
2MASS J04335188-5937451,
2MASS J04294945-5915374,
2MASS J04134909-6218394,
CD-64 159,
CD-58 1202,
CD-57 1039,
CD-56 1323,
CD-41 3255,
BD+13 1880,
* 286 Ret,
