Name,Prot,e_prot
KIC 8074803,33.52,2.18
KIC 8074742,18.85,2.17
KIC 8074183,28.19,2.04
KIC 8073877,29.38,1.73
KIC 8073810,24.03,1.82
KIC 8073672,20.63,1.53
KIC 8059595,28.78,2.36
KIC 8058211,1.67,0.11
KIC 8057997,25.23,1.8
KIC 8057598,13.33,1.03
KIC 8056871,35.19,2.75
KIC 8056853,9.9,0.73
KIC 8056162,21.07,1.83
KIC 8055837,32.15,2.42
KIC 8053780,8.8,0.66
KIC 8053601,14.73,1.08
KIC 8053548,30.63,4.44
KIC 8053426,23.21,2.15
KIC 8053266,22.11,1.82
KIC 8052463,15.64,1.43
KIC 8051355,37.45,3.36
KIC 8047357,11.85,0.92
KIC 8047296,23.7,2.28
KIC 8047278,20.07,1.78
KIC 8046954,26.3,1.98
KIC 8046850,38.5,3.91
KIC 8046796,22.42,1.79
KIC 8044754,25.76,2.38
KIC 8044516,2.67,0.18
KIC 8044501,15.32,1.26
KIC 8043841,18.73,1.43
KIC 8043748,25.92,4.92
KIC 8043650,43.62,5.82
KIC 8042983,29.18,1.99
KIC 8042528,15,1.2
KIC 8042464,25.4,1.71
KIC 8042281,11.85,0.81
KIC 8041640,27.81,2.24
KIC 8039900,22.11,1.98
KIC 8039313,25.58,1.85
KIC 8038754,13.24,1.37
KIC 8035856,19.12,1.75
KIC 8034989,41.02,5.14
KIC 8030499,8.97,0.69
KIC 8030256,11.21,0.86
KIC 8030067,32.6,1.92
KIC 8029476,12.18,0.95
KIC 8029384,41.55,4.16
KIC 8029244,19.79,1.51
KIC 8028946,28.97,3.03
KIC 8028923,15.97,1.29
KIC 8028534,8.32,0.59
KIC 8028465,17.47,1.53
KIC 8027236,35.43,6.36
KIC 8026177,12.44,1.03
KIC 8026032,31.3,1.14
KIC 8025611,41.84,3.32
KIC 8024579,30.42,2.36
KIC 8024499,14.7,1.29
KIC 8024260,23.21,1.72
KIC 8022975,15.11,1.26
KIC 8022522,15,1.47
KIC 8021999,30,2.75
KIC 8021926,22.9,1.61
KIC 8019353,29.79,2.55
KIC 8018901,26.12,2.42
KIC 8018357,10.03,0.73
KIC 8018260,19.25,1.65
KIC 8018222,38.77,3.37
KIC 8018208,26.85,1.83
KIC 8018169,21.66,1.89
KIC 8018002,20.35,1.71
KIC 8017291,36.68,3.36
KIC 8017030,33.99,5.17
KIC 8016887,19.12,1.65
KIC 8016709,41.56,5.25
KIC 8016688,23.7,1.77
KIC 8016395,27.23,2.24
KIC 8016381,14.29,1.05
KIC 8016204,29.59,2.23
KIC 8016020,21.66,1.78
KIC 8015525,28.98,2.45
KIC 8013517,24.03,1.81
KIC 8013216,25.76,2.39
KIC 8013042,24.03,1.71
KIC 8012943,0.56,0.04
KIC 8012807,27.23,2.24
KIC 8012761,16.88,1.13
KIC 8012338,16.99,1.4
KIC 8010330,27.8,2.23
KIC 8009932,20.63,2.2
KIC 8009807,45.16,5.85
KIC 8009549,18.6,1.33
KIC 8009216,33.29,2.69
KIC 8009196,23.05,2.09
KIC 8008835,17.35,1.48
KIC 8008771,20.21,1.59
KIC 8008686,14.39,1.1
KIC 8008646,20.21,1.56
KIC 8008320,29.59,2.15
KIC 8008304,32.16,4.65
KIC 8007636,19.25,1.46
KIC 8007303,32.35,1.37
KIC 8007234,16.53,1.24
KIC 8006230,19.79,1.48
KIC 8006143,2.88,0.2
KIC 8005800,25.05,1.97
KIC 8005799,43.92,4.91
KIC 8005667,24.71,1.75
KIC 8005578,9.43,0.68
KIC 8005439,22.74,1.98
KIC 8005405,29.59,2.21
KIC 8004647,3.62,0.25
KIC 7989694,11.13,0.89
KIC 7988891,21.81,1.9
KIC 7988823,27.04,2.94
KIC 7987934,18.09,1.3
KIC 7987781,9.76,0.69
KIC 7984401,8.68,0.68
KIC 7983438,41.55,4.07
KIC 7983240,25.4,2.11
KIC 7979335,14.49,1.08
KIC 7978718,23.38,2.05
KIC 7978378,9.43,0.73
KIC 7977108,13.33,0.98
KIC 7976885,28.58,1.61
KIC 7976736,14.29,0.91
KIC 7976273,38.24,3.14
KIC 7976184,10.98,0.81
KIC 7975417,6.53,0.22
KIC 7973757,14.79,1.11
KIC 7973706,10.53,0.75
KIC 7973675,17.35,1.37
KIC 7972140,24.2,1.85
KIC 7971947,31.71,4.62
KIC 7970319,24.7,2.53
KIC 7970082,18.21,1.59
KIC 7969912,7.82,0.57
KIC 7968513,13.8,0.9
KIC 7968451,34.22,2.74
KIC 7967416,39.59,2.63
KIC 7967243,28.58,2.17
KIC 7966814,12.02,0.86
KIC 7966705,8.5,0.62
KIC 7964262,12.27,0.99
KIC 7960652,9.83,0.77
KIC 7960606,51.16,3.79
KIC 7960466,43.02,3.59
KIC 7960178,19.52,1.53
KIC 7960044,98.83,9.92
KIC 7959882,36.17,2.84
KIC 7959828,30.21,2.39
KIC 7959510,34.22,3.13
KIC 7958926,17,1.36
KIC 7958890,1.67,0.11
KIC 7957881,1.03,0.07
KIC 7957709,0.64,0.04
KIC 7957397,12.88,0.88
KIC 7957082,29.18,3.39
KIC 7955887,29.38,2.97
KIC 7955497,29.18,2.69
KIC 7955266,13.06,1.14
KIC 7954276,21.51,2.99
KIC 7954195,27.04,2.02
KIC 7954192,20.07,1.68
KIC 7953911,12.1,0.88
KIC 7953579,10.03,0.73
KIC 7953482,20.35,2.16
KIC 7953052,18.21,1.65
KIC 7951063,14,0.97
KIC 7950450,20.63,1.75
KIC 7950229,13.9,1.01
KIC 7949846,26.3,2.06
KIC 7949690,46.43,6.84
KIC 7949663,24.71,1.69
KIC 7949566,26.3,1.84
KIC 7949522,13.71,1.09
KIC 7949482,19.12,1.43
KIC 7949304,24.71,1.83
KIC 7949266,62.98,5.28
KIC 7948604,28.78,2.48
KIC 7948574,28.38,2.44
KIC 7947607,4.85,0.34
KIC 7947506,15.32,1.19
KIC 7946702,23.87,1.97
KIC 7944403,28.98,3.61
KIC 7943846,21.96,1.61
KIC 7941412,25.76,2.22
KIC 7941166,30,1.64
KIC 7941056,15.97,1.32
KIC 7940822,12.97,0.99
KIC 7940025,31.93,1.05
KIC 7940020,47.4,3.33
KIC 7939565,3.99,0.27
KIC 7939051,17.11,1.3
KIC 7938943,23.05,2.19
KIC 7938821,18.09,1.74
KIC 7938787,59.59,4.55
KIC 7938739,26.67,2.06
KIC 7938615,15.97,1.1
KIC 7938355,33.74,1.5
KIC 7938012,25.94,2.52
KIC 7938004,22.27,1.92
KIC 7937821,25.41,2.56
KIC 7937391,23.54,1.98
KIC 7937153,45.16,3.87
KIC 7937049,6.85,0.48
KIC 7936824,16.88,1.3
KIC 7935898,32.6,2.27
KIC 7935835,25.23,2.26
KIC 7935694,31.27,2.73
KIC 7935506,37.97,3.9
KIC 7918000,29.38,2.16
KIC 7917755,9.04,0.65
KIC 7917325,40.98,3.63
KIC 7916982,12.88,0.88
KIC 7916838,19.66,1.42
KIC 7916140,8.92,0.63
KIC 7915628,20.92,1.73
KIC 7914624,30.63,2.68
KIC 7910913,11.93,0.84
KIC 7910775,33.99,3.8
KIC 7910700,27.61,2.11
KIC 7909569,33.99,3.8
KIC 7908791,26.85,1.99
KIC 7908578,27.98,3.84
KIC 7907879,13.52,1.14
KIC 7907712,36.43,3.21
KIC 7907119,9.11,0.63
KIC 7906885,9.56,0.7
KIC 7906865,24.88,1.87
KIC 7905458,17.84,1.3
KIC 7904822,20.78,1.62
KIC 7903362,14.39,1.13
KIC 7902693,7.29,0.48
KIC 7902501,22.11,1.67
KIC 7902087,10.39,0.81
KIC 7902000,11.85,0.81
KIC 7901813,36.68,1.47
KIC 7901541,23.87,1.81
KIC 7901479,23.37,3.36
KIC 7901001,18.86,1.39
KIC 7900968,33.06,2.42
KIC 7900436,19.93,1.76
KIC 7899668,27.99,2.28
KIC 7898781,31.71,2.28
KIC 7898449,30.63,1.28
KIC 7898238,17.59,1.42
KIC 7898071,3.47,0.24
KIC 7897834,25.58,1.99
KIC 7891183,37.71,4.93
KIC 7891030,39.59,3.4
KIC 7889930,27.42,2.76
KIC 7889188,27.04,2.05
KIC 7889173,40.42,3.02
KIC 7888381,11.37,0.78
KIC 7887969,14.19,1.16
KIC 7887386,36.18,3.14
KIC 7887068,24.2,1.72
KIC 7886049,1.47,0.1
KIC 7884814,24.54,1.93
KIC 7884347,33.75,2.81
KIC 7882472,28.98,2.04
KIC 7882229,21.81,1.77
KIC 7881278,38.77,2.99
KIC 7881168,13.24,1.05
KIC 7880980,46.11,8.63
KIC 7880466,13.62,1.12
KIC 7880409,13.24,1.19
KIC 7879924,16.88,1.48
KIC 7879639,15.21,1.38
KIC 7879384,11.29,0.77
KIC 7879310,27.61,3.46
KIC 7878935,37.69,3.66
KIC 7878794,15.97,1.26
KIC 7878428,29.79,2.49
KIC 7877270,30.42,2.59
KIC 7875011,29.38,2.1
KIC 7875008,21.66,1.59
KIC 7874929,11.61,0.95
KIC 7873020,37.97,2.5
KIC 7873014,44.84,2.72
KIC 7872997,31.06,2.43
KIC 7871986,22.42,1.63
KIC 7871678,20.78,1.89
KIC 7871614,16.3,1.44
KIC 7871453,32.38,2.38
KIC 7871442,17.23,1.25
KIC 7871438,2.8,0.19
KIC 7871162,1,0.07
KIC 7870788,26.3,2.07
KIC 7870543,27.23,2.04
KIC 7870440,21.66,1.76
KIC 7870434,28.58,1.43
KIC 7870244,12.7,0.89
KIC 7870071,15.42,1.08
KIC 7869062,20.92,1.63
KIC 7868630,14.59,1.13
KIC 7867964,22.58,1.83
KIC 7867585,19.39,1.46
KIC 7867498,40.14,5.54
KIC 7867493,27.8,4.71
KIC 7867295,31.05,1.05
KIC 7867279,12.44,0.94
KIC 7867109,23.54,1.74
KIC 7867105,11.93,0.86
KIC 7866891,46.11,3.97
KIC 7866763,18.73,1.34
KIC 7850656,13.52,1.05
KIC 7849619,12.97,1.02
KIC 7849441,18.73,1.41
KIC 7848638,23.54,1.62
KIC 7848629,12.27,0.83
KIC 7848349,21.07,2.07
KIC 7847766,27.04,2.03
KIC 7847566,28.58,1.97
KIC 7846543,20.07,1.61
KIC 7846522,10.75,0.83
KIC 7842819,13.52,1.63
KIC 7842551,31.06,5.03
KIC 7842090,35.93,4.66
KIC 7841525,25.76,1.94
KIC 7840840,41.27,2.91
KIC 7840820,23.88,1.8
KIC 7838405,28.98,2.78
KIC 7838033,28.98,2.92
KIC 7837909,28.98,2.13
KIC 7837372,20.63,1.61
KIC 7836678,28.19,2.48
KIC 7836428,40.14,5.21
KIC 7836401,35.19,4.12
KIC 7834941,19.25,1.5
KIC 7834668,17.23,1.35
KIC 7834412,14.19,1.24
KIC 7833371,44.23,8.16
KIC 7832336,26.48,2.96
KIC 7831408,21.81,1.62
KIC 7830984,10.61,0.75
KIC 7830917,39.31,3.67
KIC 7830019,29.79,2.19
KIC 7829740,9.56,0.67
KIC 7825978,31.06,2.05
KIC 7821528,9.9,0.75
KIC 7821336,27.61,2.39
KIC 7819790,25.94,2.37
KIC 7819643,16.3,1.49
KIC 7819435,14.19,2.47
KIC 7819106,22.58,1.72
KIC 7817786,14.6,1.27
KIC 7817489,37.45,3.94
KIC 7816647,31.71,3.4
KIC 7816616,26.85,0.87
KIC 7816137,18.21,1.66
KIC 7815824,8.68,0.72
KIC 7815805,32.6,2.83
KIC 7813656,34.7,3.09
KIC 7813203,31.06,1.76
KIC 7812797,27.23,2.2
KIC 7812517,17.24,1.44
KIC 7812494,33.78,2.84
KIC 7812369,33.97,1.45
KIC 7812368,43.62,3.19
KIC 7812193,23.22,1.96
KIC 7811497,24.03,1.85
KIC 7811438,34.22,2.67
KIC 7811310,26.48,2.46
KIC 7810945,16.54,1.29
KIC 7810798,0.41,
KIC 7810653,35.19,2.22
KIC 7810551,32.6,1.49
KIC 7810334,36.17,4.3
KIC 7809123,41.56,5.89
KIC 7809035,10.83,0.73
KIC 7809022,8.98,0.68
KIC 7808672,39.58,3.38
KIC 7808484,17.96,1.32
KIC 7808214,12.1,0.87
KIC 7808087,27.04,2.18
KIC 7807888,25.58,2.53
KIC 7806026,26.85,3.74
KIC 7805901,20.63,1.7
KIC 7804024,33.29,2.41
KIC 7803783,21.36,1.58
KIC 7803692,13.9,2.91
KIC 7802933,35.92,2.78
KIC 7802461,25.76,2.35
KIC 7801596,14.69,1.08
KIC 7801339,31.06,2.32
KIC 7800845,41.55,2.18
KIC 7800771,29.78,0.96
KIC 7800087,0.49,
KIC 7799843,28.78,3.26
KIC 7799652,27.8,3.39
KIC 7799526,8.44,0.63
KIC 7799405,24.54,2.13
KIC 7799202,31.93,2.93
KIC 7798623,27.23,2
KIC 7797734,30.84,2.64
KIC 7797426,23.38,2.56
KIC 7778305,17.11,1.36
KIC 7777570,19.93,1.46
KIC 7773724,37.97,3.22
KIC 7773080,13.61,1.1
KIC 7772419,31.49,3.7
KIC 7772109,15.64,1.25
KIC 7771186,15.64,1.15
KIC 7771108,26.48,2.36
KIC 7770147,12.18,0.86
KIC 7769115,29.79,2.8
KIC 7769049,34.23,3.84
KIC 7768898,18.47,1.37
KIC 7768601,28.98,1.31
KIC 7768446,28.58,5.03
KIC 7768262,34.22,4.24
KIC 7767668,22.27,1.81
KIC 7765762,9.97,0.71
KIC 7765677,24.2,1.88
KIC 7765236,9.76,0.69
KIC 7765047,27.61,2.58
KIC 7764601,23.22,2.03
KIC 7763240,12.53,0.92
KIC 7762604,12.44,0.86
KIC 7760895,14.69,1.33
KIC 7758086,27.42,1.99
KIC 7756607,32.6,3.11
KIC 7756549,30.21,2.04
KIC 7756377,32.6,2.66
KIC 7756248,30.21,2.35
KIC 7756164,21.81,1.67
KIC 7755976,30.42,3.1
KIC 7755975,36.43,4.34
KIC 7755520,9.11,0.7
KIC 7752035,21.21,1.73
KIC 7751487,17.72,1.46
KIC 7751367,26.48,1.82
KIC 7751342,12.1,0.73
KIC 7751003,15.21,1.74
KIC 7750507,34.94,3.38
KIC 7749926,32.38,6.31
KIC 7749544,27.61,1.94
KIC 7749386,16.08,1.28
KIC 7749104,22.58,2.07
KIC 7749101,21.07,1.66
KIC 7749045,8.56,0.63
KIC 7749008,21.21,1.5
KIC 7748764,30.21,2.16
KIC 7747625,24.88,2.02
KIC 7747368,34.7,2.65
KIC 7744840,31.28,2.81
KIC 7744797,15.11,1.28
KIC 7744122,14,1.26
KIC 7743987,18.1,1.81
KIC 7743830,14.09,1.13
KIC 7743653,27.04,2.09
KIC 7742951,51.16,4.17
KIC 7742352,32.15,4.86
KIC 7742244,42.72,5.15
KIC 7742097,2.11,0.14
KIC 7741987,1.25,0.08
KIC 7741887,18.21,1.44
KIC 7741801,20.07,1.68
KIC 7741750,34.22,3.14
KIC 7740465,19.52,1.64
KIC 7740414,27.6,2.02
KIC 7740370,10.53,0.77
KIC 7739913,19.79,1.5
KIC 7739267,18.86,1.43
KIC 7739127,34.94,3.28
KIC 7738973,18.21,1.36
KIC 7738943,19.25,1.69
KIC 7738796,23.87,2.42
KIC 7735036,41.84,4.49
KIC 7734893,20.21,1.42
KIC 7734775,44.85,4.2
KIC 7734382,1.61,0.12
KIC 7734325,50.11,3.73
KIC 7734216,34.94,2.32
KIC 7734207,12.27,0.82
KIC 7733778,26.48,2.75
KIC 7732980,39.31,2.62
KIC 7732839,18.21,1.61
KIC 7732722,17.59,1.54
KIC 7732556,15,1.11
KIC 7732242,33.75,2.29
KIC 7732168,24.54,2.02
KIC 7731877,12.79,1.05
KIC 7731778,43.32,6.05
KIC 7731362,20.07,1.6
KIC 7731334,45.47,4.23
KIC 7731183,26.67,1.92
KIC 7730885,33.52,2.78
KIC 7730872,32.83,2.23
KIC 7730659,32.38,2.41
KIC 7730615,32.81,1.64
KIC 7730130,18.21,2.47
KIC 7729744,33.06,1.85
KIC 7729557,22.74,1.82
KIC 7729121,35.68,2.39
KIC 7708789,21.96,1.7
KIC 7708454,40.14,3.6
KIC 7707805,9.36,0.66
KIC 7703219,19.66,1.68
KIC 7702806,19.12,2
KIC 7702783,29.39,3.77
KIC 7701615,25.76,2.15
KIC 7699717,25.58,1.96
KIC 7699627,19.79,1.55
KIC 7699514,10.46,0.83
KIC 7698981,8.21,0.58
KIC 7698850,12.7,1.02
KIC 7698553,14.29,1.13
KIC 7698523,13.73,1.09
KIC 7698362,16.99,1.36
KIC 7698253,14.11,1.4
KIC 7698079,22.27,1.7
KIC 7697712,26.67,2.16
KIC 7697396,10.76,0.78
KIC 7695894,23.54,1.73
KIC 7695877,15.32,1.17
KIC 7695793,23.05,1.72
KIC 7695500,37.19,2.77
KIC 7695450,16,1.36
KIC 7695268,26.48,2
KIC 7695111,37.45,5
KIC 7694809,7.98,0.61
KIC 7694707,20.35,1.61
KIC 7694634,21.07,1.79
KIC 7693403,15.86,1.3
KIC 7692454,16.64,1.27
KIC 7692073,32.6,2.82
KIC 7691676,30.63,3.14
KIC 7691523,26.48,2.58
KIC 7691514,9.49,0.71
KIC 7691457,12.1,0.89
KIC 7691414,27.8,2.69
KIC 7691092,11.45,0.92
KIC 7687866,13.42,0.92
KIC 7686976,21.96,1.73
KIC 7686806,19.66,1.71
KIC 7686674,18.47,1.55
KIC 7686180,18.34,1.42
KIC 7686047,24.37,1.74
KIC 7685801,12.26,0.38
KIC 7685471,14.1,1.17
KIC 7685273,18.99,1.73
KIC 7685197,13.06,1.17
KIC 7685028,15.32,1.14
KIC 7680651,36.18,5.73
KIC 7680165,30.84,2.2
KIC 7679215,9.43,0.68
KIC 7678583,24.71,1.84
KIC 7678396,24.2,1.71
KIC 7677913,24.2,2.24
KIC 7677767,27.99,2.1
KIC 7677406,16.99,1.38
KIC 7676949,32.38,1.98
KIC 7676756,23.54,2.02
KIC 7676737,40.7,2.71
KIC 7674440,7.55,0.53
KIC 7674210,42.13,5.07
KIC 7674190,17.84,1.44
KIC 7673449,25.23,1.77
KIC 7673433,15.11,1.16
KIC 7673428,14.9,1.13
KIC 7673177,28.78,1.88
KIC 7672724,32.59,1.87
KIC 7671966,24.2,1.78
KIC 7671855,11.77,0.81
KIC 7671841,0.64,0.05
KIC 7671065,25.94,2.14
KIC 7671030,32.6,2.61
KIC 7670852,27.04,1.91
KIC 7670807,36.43,3.84
KIC 7670700,21.21,1.66
KIC 7670507,20.35,1.59
KIC 7669727,25.76,2.06
KIC 7669437,21.66,2.1
KIC 7668857,9.11,0.66
KIC 7668779,36.42,2.79
KIC 7668770,21.21,1.59
KIC 7668661,23.54,1.73
KIC 7668658,2.8,0.19
KIC 7668573,27.61,2.66
KIC 7668161,15.32,1.2
KIC 7667213,17.72,1.27
KIC 7664406,32.37,2.17
KIC 7664197,23.7,2.09
KIC 7663830,15.97,1.29
KIC 7663680,22.74,1.88
KIC 7663140,23.37,1.67
KIC 7662654,30.63,3.68
KIC 7662339,37.97,2.84
KIC 7662295,34.22,2.17
KIC 7661834,14.49,1.02
KIC 7661316,29.61,2.89
KIC 7661281,18.47,1.45
KIC 7661117,35.19,3.88
KIC 7660647,12.1,0.82
KIC 7660557,15.53,1.19
KIC 7660542,18.86,1.39
KIC 7660472,25.4,2.61
KIC 7660442,43.62,4.48
KIC 7660117,36.43,4.61
KIC 7659667,19.52,1.48
KIC 7659543,34.46,4.2
KIC 7659402,18.99,1.69
KIC 7659172,19.25,1.52
KIC 7658920,20.78,1.83
KIC 7658761,19.12,1.46
KIC 7658727,21.81,1.75
KIC 7657990,31.49,2.8
KIC 7630848,27.04,2.24
KIC 7630772,49.76,4.77
KIC 7630663,42.13,3.85
KIC 7630526,15.1,1.31
KIC 7629944,24.54,2.2
KIC 7629605,19.93,1.55
KIC 7627107,30.63,2.83
KIC 7626388,35.68,2.89
KIC 7625890,36.93,2.9
KIC 7624946,21.96,1.61
KIC 7624666,19.94,1.79
KIC 7624657,31.49,2.59
KIC 7624180,29.38,1.06
KIC 7622850,18.09,1.31
KIC 7622592,11.37,0.82
KIC 7621056,13.15,1.1
KIC 7621019,20.78,1.71
KIC 7620787,40.14,5.65
KIC 7620399,14,1.27
KIC 7619473,30.42,3.89
KIC 7619403,14.23,1.5
KIC 7619344,16.42,1.32
KIC 7618308,29.38,2.39
KIC 7617521,24.71,1.94
KIC 7617164,20.79,3.33
KIC 7617153,10.83,0.74
KIC 7613448,16.99,1.27
KIC 7613079,23.87,1.81
KIC 7612670,19.93,1.68
KIC 7612528,25.4,1.9
KIC 7610788,28.58,1.58
KIC 7610589,37.19,3.34
KIC 7610446,22.32,2.25
KIC 7609819,46.43,3.41
KIC 7609669,31.27,2.92
KIC 7609582,19.52,1.69
KIC 7609504,26.85,2.01
KIC 7603603,30.42,5.15
KIC 7603569,17.71,1.27
KIC 7602845,17.96,1.33
KIC 7599122,13.9,1.03
KIC 7598745,15.86,1.38
KIC 7597197,26.12,2.17
KIC 7596346,27.04,1.81
KIC 7596034,14.7,1.46
KIC 7595928,13.43,1.03
KIC 7595050,12.02,0.89
KIC 7594800,24.2,2.25
KIC 7594065,18.86,1.44
KIC 7593903,26.3,2.01
KIC 7593769,28.78,2.08
KIC 7593749,41.55,3.61
KIC 7593595,13.15,1.16
KIC 7593256,41.27,4.91
KIC 7593207,45.47,3.23
KIC 7593064,25.05,1.1
KIC 7592757,31.27,2.82
KIC 7592696,22.11,1.99
KIC 7592133,10.61,0.7
KIC 7592079,43.32,4.18
KIC 7591741,28.19,2.05
KIC 7590933,27.61,1.96
KIC 7588292,16.64,1.26
KIC 7587802,22.12,2.19
KIC 7587725,45.16,5.98
KIC 7587624,26.86,2.42
KIC 7586541,5.97,0.43
KIC 7586129,37.45,2.63
KIC 7585860,31.66,1.54
KIC 7585569,12.53,0.87
KIC 7585409,25.58,2.22
KIC 7584931,29.39,5.25
KIC 7584332,31.49,3.45
KIC 7584126,23.21,2.08
KIC 7583798,29.59,3.49
KIC 7583116,40.42,3.93
KIC 7583014,39.86,4.39
KIC 7581798,27.04,2.11
KIC 7581770,9.9,0.71
KIC 7581614,35.19,3.65
KIC 7581487,24.88,1.98
KIC 7581273,33.99,5.8
KIC 7581219,35.93,2.65
KIC 7552450,33.75,3.46
KIC 7552002,14.1,1.22
KIC 7551695,3.86,0.27
KIC 7551546,31.93,3.54
KIC 7550904,15.64,1.44
KIC 7549825,32.38,3.64
KIC 7549594,28.78,2.15
KIC 7549171,43.92,6.77
KIC 7548914,43.92,3.19
KIC 7548790,25.23,2.39
KIC 7548531,39.05,1.23
KIC 7547969,0.67,0.05
KIC 7547328,9.97,0.68
KIC 7546106,27.99,2.68
KIC 7545542,42.43,2.89
KIC 7545518,28.78,2.29
KIC 7544739,23.87,1.88
KIC 7543515,19.39,1.5
KIC 7543006,22.42,1.75
KIC 7542858,27.42,2.11
KIC 7542648,20.92,1.55
KIC 7542314,16.42,1.28
KIC 7542311,16.3,1.19
KIC 7542310,18.73,1.52
KIC 7541650,25.76,2.16
KIC 7541236,39.04,7.38
KIC 7541099,16.88,2
KIC 7540114,32.15,5.55
KIC 7539646,8.74,0.67
KIC 7539346,36.18,3.51
KIC 7539217,23.54,1.76
KIC 7538711,34.22,2.73
KIC 7538485,11.93,0.85
KIC 7538307,24.03,1.72
KIC 7534474,9.36,0.71
KIC 7534455,11.69,0.86
KIC 7534239,8.09,0.68
KIC 7533158,28.19,2.06
KIC 7533119,10.53,0.73
KIC 7532381,46.11,3.12
KIC 7531638,24.2,2
KIC 7531553,34.46,3.64
KIC 7530991,11.69,1.07
KIC 7530779,23.87,3.67
KIC 7530410,26.85,1.93
KIC 7529753,13.48,0.8
KIC 7529513,17.35,1.34
KIC 7528980,39.59,5.44
KIC 7528955,34.22,2.8
KIC 7524131,10.75,0.82
KIC 7523705,23.7,1.72
KIC 7521962,18.73,1.73
KIC 7519257,10.17,0.75
KIC 7518655,31.71,2.56
KIC 7517852,20.49,1.51
KIC 7517793,11.93,0.84
KIC 7517686,23.7,2.13
KIC 7517379,11.53,0.77
KIC 7517368,36.43,2.77
KIC 7517100,17.35,1.6
KIC 7517070,14.19,1.3
KIC 7516880,12.18,0.97
KIC 7516505,21.36,1.78
KIC 7516478,28.58,2.67
KIC 7515908,12.1,0.83
KIC 7515645,11.85,0.83
KIC 7515543,38.77,3.5
KIC 7515444,24.88,2.24
KIC 7514737,31.49,2.61
KIC 7514694,20.21,1.57
KIC 7514323,28.58,2.82
KIC 7513867,27.61,2.04
KIC 7513681,33.52,3.16
KIC 7513529,14.39,1.13
KIC 7513242,46.43,3.07
KIC 7513213,21.07,1.66
KIC 7512333,27.79,2.8
KIC 7512128,44.53,6.37
KIC 7511885,9.69,0.66
KIC 7511865,42.13,4.93
KIC 7511396,27.42,2.34
KIC 7511147,34.22,3.09
KIC 7511060,37.19,3.33
KIC 7510887,17.84,1.51
KIC 7510767,18.34,1.39
KIC 7510457,21.81,1.7
KIC 7510131,8.44,0.61
KIC 7509897,28.78,2.37
KIC 7509496,9.56,0.7
KIC 7509473,22.11,1.7
KIC 7509281,5.34,0.37
KIC 7506298,31.93,2.42
KIC 7506027,4.55,0.32
KIC 7504933,31.28,4.43
KIC 7504656,16.53,1.5
KIC 7504207,21.96,1.65
KIC 7504202,23.54,1.78
KIC 7504049,38.24,2.71
KIC 7503731,25.76,1.86
KIC 7503044,24.37,1.82
KIC 7502608,21.36,1.74
KIC 7502548,45.79,7.1
KIC 7502497,28.38,2.24
KIC 7502259,17.96,1.32
KIC 7502227,16.53,1.19
KIC 7502086,11.53,0.78
KIC 7502065,6.18,0.43
KIC 7501618,26.3,2.31
KIC 7501509,24.03,1.75
KIC 7501009,26.85,1.96
KIC 7500845,30.21,3.23
KIC 7500099,16.64,1.29
KIC 7499836,39.31,3
KIC 7499819,38.77,6.11
KIC 7499625,35.43,4.36
KIC 7499372,29.59,2.15
KIC 7499271,31.93,3.89
KIC 7471068,21.21,2.34
KIC 7470609,21.21,1.67
KIC 7470085,30.42,2.53
KIC 7469367,11.14,0.87
KIC 7469117,27.8,2.14
KIC 7467119,16.2,1.67
KIC 7466603,27.8,4.44
KIC 7466105,21.22,2.05
KIC 7465807,14.49,1.23
KIC 7464965,23.04,3.09
KIC 7464867,21.07,1.61
KIC 7464593,37.71,3.06
KIC 7463116,17.35,1.39
KIC 7462752,30.63,2.42
KIC 7461742,22.73,0.85
KIC 7459327,21.81,1.86
KIC 7458527,33.52,3.91
KIC 7458488,14.8,1.25
KIC 7458145,44.85,3.71
KIC 7457980,23.87,1.8
KIC 7456981,31.27,2.41
KIC 7456662,16.64,1.18
KIC 7456580,36.17,4.02
KIC 7456455,10.32,0.8
KIC 7456437,26.12,2.69
KIC 7456036,37.97,2.71
KIC 7455247,24.2,3.81
KIC 7455163,35.43,3.21
KIC 7455033,11.21,0.78
KIC 7455026,10.61,0.74
KIC 7451604,39.31,4.18
KIC 7449695,1.64,0.11
KIC 7448941,23.54,1.77
KIC 7448573,12.1,1.04
KIC 7447644,27.99,3.44
KIC 7447596,14.4,1.3
KIC 7447477,20.93,2.89
KIC 7447190,13.43,1.25
KIC 7446734,27.99,2.66
KIC 7446475,25.4,1.91
KIC 7445952,16.64,1.5
KIC 7445605,1.06,0.07
KIC 7445601,27.42,2.18
KIC 7445571,33.75,4.86
KIC 7445522,23.7,2.66
KIC 7445487,28.58,4.03
KIC 7440570,17.35,1.36
KIC 7439111,15.32,1.43
KIC 7438734,31.93,1.15
KIC 7436369,36.93,2.32
KIC 7435721,22.42,1.69
KIC 7435098,12.02,0.87
KIC 7434682,15.32,1.41
KIC 7434449,11.06,0.85
KIC 7434110,1.79,0.12
KIC 7434066,18.22,1.51
KIC 7433683,26.12,2.24
KIC 7433563,30.84,2.34
KIC 7433517,30.84,4.98
KIC 7432575,15.65,1.3
KIC 7432573,18.86,2.44
KIC 7432495,42.13,4.95
KIC 7432378,3.43,0.24
KIC 7432346,11.85,0.8
KIC 7432074,35.68,2.79
