Name,Prot,e_prot
KIC 9531060,21.36,1.61
KIC 9530963,24.88,1.92
KIC 9530907,13.17,0.48
KIC 9530872,22.58,2.04
KIC 9508649,22.89,2
KIC 9479379,21.83,1.68
KIC 9472701,22.42,1.79
KIC 9472557,15.75,1.64
KIC 9472508,26.48,2.23
KIC 9472423,26.48,2.38
KIC 9472215,12.18,0.88
KIC 9472016,12.79,1.13
KIC 9471542,11.69,0.88
KIC 9471429,19.79,1.67
KIC 9471378,28.98,2.42
KIC 9471249,26.13,4.1
KIC 9471158,12.97,0.81
KIC 9471103,16.53,1.26
KIC 9470992,18.86,1.51
KIC 9470852,17.47,1.48
KIC 9470187,9.79,0.6
KIC 9470156,20.07,1.82
KIC 9470057,12.7,1.01
KIC 9469961,20.28,1.65
KIC 9462702,20.92,2.09
KIC 9457153,14,1.04
KIC 9455179,26.85,2.98
KIC 9447298,32.83,3.84
KIC 9418781,37.96,4.09
KIC 9413045,29.18,2.32
KIC 9412993,18.34,0.71
KIC 9411171,18.34,1.44
KIC 9411005,16.76,1.51
KIC 9410579,17.35,1.59
KIC 9410534,13.93,1.18
KIC 9410463,14.69,1.32
KIC 9410326,18.34,1.76
KIC 9410254,17.59,1.4
KIC 9410228,33.06,4.1
KIC 9409730,17.11,0.7
KIC 9409552,27.8,2.4
KIC 9409493,2.04,0.14
KIC 9409485,12.27,0.93
KIC 9409389,19.66,1.56
KIC 9402603,31.49,5.2
KIC 9397998,30.42,3.09
KIC 9391581,18.82,2.22
KIC 9389847,15.75,1.28
KIC 9349106,26.85,2.18
KIC 9335114,21.66,1.8
KIC 9330256,5.8,0.41
KIC 9330076,23.05,3.28
KIC 9282490,15.32,1.17
KIC 9269731,16.77,1.51
KIC 9267275,19.52,1.78
KIC 9264637,15.81,1.95
KIC 9230046,23.88,1.5
KIC 9224814,23.56,2.56
KIC 9214236,28.18,0.91
KIC 9214205,31.27,3.05
KIC 9213660,23.35,3.27
KIC 9206669,17.23,1.39
KIC 9201819,24.37,2.12
KIC 9201808,18.09,1.45
KIC 9151070,22.9,1.87
KIC 9142630,21.51,3.04
KIC 9140125,28.19,2.9
KIC 9139169,26.85,2.81
KIC 9138452,1.56,0.1
KIC 9092351,27.8,2.57
KIC 9083175,27.2,1.98
KIC 9076217,6.13,0.4
KIC 9075890,25.94,3.09
KIC 9073360,35.93,3.94
KIC 8984129,14.69,1.05
KIC 8961101,30.21,2.58
KIC 8948713,17.35,1.13
KIC 8947492,10.68,0.82
KIC 8943203,17.84,1.74
KIC 8940529,34.7,2.91
KIC 8907022,46.43,4.76
KIC 8886183,29.18,3.98
KIC 8880109,37.46,4.87
KIC 8824320,17.11,1.29
KIC 8819253,10.17,0.79
KIC 8819073,11.77,0.83
KIC 8818970,13.8,1.16
KIC 8813259,23.21,2.36
KIC 8804334,5.57,0.39
KIC 8800709,20.78,1.76
KIC 8777579,22.89,2.41
KIC 8753773,6.26,0.48
KIC 8738091,20.07,2
KIC 8696407,32.38,2.62
KIC 8693168,29.39,3.9
KIC 8692957,12.97,0.52
KIC 8690639,31.28,4.77
KIC 8688056,29.79,3.63
KIC 8687664,17.12,1.45
KIC 8687186,16.99,1.2
KIC 8685434,18.47,1.92
KIC 8680982,25.94,2.67
KIC 8680857,3.24,0.22
KIC 8680778,18.34,1.85
KIC 8678005,35.93,3.93
KIC 8674658,14,1.12
KIC 8673526,30.21,2.98
KIC 8672783,27.04,0.95
KIC 8628333,33.3,2.92
KIC 8626430,24.2,2.74
KIC 8623588,24.88,3.78
KIC 8622430,21.82,1.79
KIC 8605160,22.27,1.84
KIC 8542941,42.14,4.31
KIC 8539362,28.98,3.08
KIC 8493421,10.83,0.78
KIC 8476647,14.39,1.23
KIC 8476006,26.85,1.2
KIC 8460866,2.86,0.2
KIC 8431077,2.44,0.19
KIC 8416446,15.42,1.2
KIC 8409571,14,1.05
KIC 8409535,25.58,1.77
KIC 8408948,23.38,1.79
KIC 8408875,3.83,0.27
KIC 8396606,24.2,2.48
KIC 8396148,20.49,1.77
KIC 8395874,20.78,2.28
KIC 8393271,17,1.29
KIC 8382067,0.6,0.05
KIC 8374021,13.43,0.96
KIC 8370259,27.23,3.96
KIC 8365874,44.54,4.33
KIC 8363726,18.6,1.47
KIC 8355325,23.54,2.09
KIC 8355177,22.12,1.7
KIC 8349700,14.28,1.1
KIC 8349198,19.66,3.17
KIC 8348643,31.93,3.67
KIC 8331592,11.05,0.78
KIC 8331309,20.92,1.93
KIC 8331242,15.75,1.21
KIC 8331199,23.87,2.86
KIC 8331107,8.74,0.71
KIC 8330667,17.84,2.2
KIC 8330320,22.27,2.09
KIC 8330048,17.35,1.34
KIC 8329796,25.05,2.09
KIC 8329492,13.13,1.1
KIC 8329437,10.75,0.85
KIC 8329188,19.79,1.62
KIC 8329137,14.8,1.25
KIC 8328992,20.92,2.06
KIC 8295049,28.98,2.92
KIC 8295020,17.84,1.63
KIC 8294593,33.29,4.32
KIC 8278485,29.18,2
KIC 8278285,27.8,2
KIC 8265665,19.39,1.88
KIC 8265628,10.38,0.42
KIC 8265267,16.53,1.43
KIC 8265139,12.44,0.88
KIC 8265001,8.33,0.6
KIC 8264883,0.72,0.05
KIC 8264753,24.54,2.04
KIC 8264250,49.42,4.95
KIC 8264242,23.38,1.66
KIC 8263764,10.32,0.94
KIC 8263656,19.65,1.68
KIC 8263546,10.1,0.73
KIC 8263406,22.89,1.82
KIC 8263170,9.69,0.73
KIC 8263139,20.78,2
KIC 8254860,16.41,2.1
KIC 8245808,12.36,1.02
KIC 8236309,24.72,3.52
KIC 8227695,11.06,0.83
KIC 8223313,24.88,2.42
KIC 8212634,42.72,5.79
KIC 8210318,29.18,1.38
KIC 8198083,5.99,0.39
KIC 8197858,16.31,1.33
KIC 8197713,2.14,0.15
KIC 8197428,15.42,1.29
KIC 8197427,30.21,3.53
KIC 8196966,4.25,0.3
KIC 8180426,17.47,1.55
KIC 8171848,33.99,3.02
KIC 8168076,19.92,0.75
KIC 8163910,22.59,3.22
KIC 8161989,12.61,1.56
KIC 8161720,20.21,2.03
KIC 8160525,7.54,0.5
KIC 8159877,15.21,1.37
KIC 8148709,39.59,6.53
KIC 8146309,19.79,1.67
KIC 8145018,31.05,1.16
KIC 8144788,18.99,1.63
KIC 8109709,37.19,5.7
KIC 8094411,6.48,0.5
KIC 8090312,11.29,0.92
KIC 8088272,21.81,2.34
KIC 8086729,10.32,0.74
KIC 8086267,13.06,0.93
KIC 8076470,14.69,1.1
KIC 8052057,79.72,6.59
