Name,P_rot,P_rot_err,Prot_errm,Prot_errp
Kepler-527,6.886,0.176,,
Kepler-523,7.643,0.006,,
Kepler-522,4.919,0.007,,
Kepler-519,17.825,0.023,,
Kepler-518,16.77909258,,0.149800726,0.152316536
Kepler-514,8.291,0.185,,
Kepler-512,12.103,0.249,,
Kepler-51,8.222,0.007,,
Kepler-506,7.86,0.047,,
Kepler-500,23.840781,,0.313405001,0.365294933
Kepler-50,7.855914474,,0.070114438,0.065142934
Kepler-489,21.56621455,,2.577347454,3.986380358
Kepler-484,15.757,0.011,,
Kepler-478,32.208,0.174,,
Kepler-464,17.332,0.133,,
Kepler-461,8.552,0.005,,
Kepler-460,18.59796722,,0.632403205,0.714299778
Kepler-450,20.796,0.016,,
Kepler-447,6.459,0.003,,
Kepler-43,12.851,0.053,,
Kepler-419,4.492,0.012,,
Kepler-416,21.63524849,,0.208659475,0.259482279
Kepler-414,18.554,0.048,,
Kepler-411,10.44,0.002,,
Kepler-404,23.51704524,,0.244901908,0.273053655
Kepler-402,9.127384461,,0.071008877,0.073308158
Kepler-400,13.409,0.03,,
Kepler-396,13.272,0.014,,
Kepler-367,17.068,0.014,,
Kepler-360,10.252,0.008,,
Kepler-352,15.983,0.02,,
Kepler-348,3.878,0.002,,
Kepler-336,10.258,0.06,,
Kepler-334,16.675,0.115,,
Kepler-332,23.637,0.107,,
Kepler-326,9.646,0.002,,
Kepler-322,18.991,0.012,,
Kepler-321,21.38878954,,0.222278886,0.232664846
Kepler-319,13.371,0.012,,
Kepler-318,7.154,0.003,,
Kepler-314,26.99453621,,0.304168149,0.285646336
Kepler-312,5.7323294,,0.024164399,0.025104827
Kepler-304,14.176,0.004,,
Kepler-301,22.686,0.208,,
Kepler-30,16.004,0.017,,
Kepler-294,24.371,0.073,,
Kepler-293,31.269,0.533,,
Kepler-289,8.648,0.009,,
Kepler-27,14.741,0.011,,
Kepler-261,12.368,0.001,,
Kepler-260,19.203,0.005,,
Kepler-257,21.679,0.042,,
Kepler-254,24.523,0.114,,
Kepler-248,25.066,0.009,,
Kepler-246,23.175,0.076,,
Kepler-245,19.444,0.039,,
Kepler-243,26.26876928,,0.281430632,0.305262062
Kepler-242,15.773,0.009,,
Kepler-24,10.08,0.154,,
Kepler-229,15.94,0.615,,
Kepler-224,21.878,0.063,,
Kepler-222,10.983,0.018,,
Kepler-221,9.399,0.004,,
Kepler-220,30.786,0.021,,
Kepler-219,17.101,0.09,,
Kepler-211,13.845,0.007,,
Kepler-207,15.9259086,,0.198793644,0.213269019
Kepler-204,16.82325541,,0.18501102,0.195518315
Kepler-203,15.23015829,,0.091039488,0.094149371
Kepler-200,19.12348856,,0.231413281,0.244959253
Kepler-199,18.14228859,,0.195799513,0.208266966
Kepler-195,25.828,0.024,,
Kepler-193,13.63351062,,0.30890298,0.315255766
Kepler-190,29.985,0.172,,
Kepler-185,31.78,0.665,,
Kepler-172,23.287,0.199,,
Kepler-171,21.506,0.138,,
Kepler-17,12.159,0.029,,
Kepler-169,25.433,0.089,,
Kepler-1656,23.373,2.254,,
Kepler-161,28.56091797,,0.206300592,0.203840459
Kepler-1598,14.21375243,,0.080928726,0.086154777
Kepler-1576,7.284718179,,0.022818619,0.021434433
Kepler-1571,15.88885692,,0.11379204,0.110262523
Kepler-1560,10.42557041,,0.0402447,0.041497025
Kepler-1552,16.9411413,,0.080653945,0.081515735
Kepler-1541,11.26349603,,0.043965218,0.047308767
Kepler-1521,7.884794618,,0.027189786,0.030145121
Kepler-1507,11.13182241,,0.067485491,0.112364722
Kepler-150,17.558,0.03,,
Kepler-146,14.39374381,,0.154042958,0.162476139
Kepler-1452,24.54584357,,0.169706783,0.165037859
Kepler-1446,19.4287154,,0.087321541,0.099219409
Kepler-1428,5.464,0.007,,
Kepler-1424,22.27637436,,0.192261526,0.167919947
Kepler-1421,13.13,0.249,,
Kepler-1418,11.911,0.039,,
Kepler-1410,14.378,0.003,,
Kepler-141,18.77993711,,3.086043498,10.81272876
Kepler-140,13.30371093,,0.221558952,0.252824699
Kepler-1395,11.871,0.075,,
Kepler-1393,22.57,0.102,,
Kepler-1389,31.15363853,,0.446662422,0.516612239
Kepler-1387,20.724,0.013,,
Kepler-1361,37.089,0.72,,
Kepler-1358,15.605,0.007,,
Kepler-134,15.72,1.388,,
Kepler-1335,23.411,0.016,,
Kepler-1332,25.33495668,,0.298687342,0.280516954
Kepler-1324,12.689,0.001,,
Kepler-1315,38.16260337,,5.376256616,2.147569999
Kepler-1313,6.138,0.001,,
Kepler-1312,5.998,0.001,,
Kepler-1310,22.54537647,,0.294424912,0.313083149
Kepler-131,17.523,0.127,,
Kepler-1298,11.059,0.011,,
Kepler-1293,12.265,0.021,,
Kepler-1288,20.304,0.096,,
Kepler-1285,8.759777477,,0.077805464,0.081930661
Kepler-1276,9.000003298,,0.058405584,0.056860838
Kepler-1274,17.018389,,0.213551766,0.271196613
Kepler-127,10.20251535,,0.098653467,0.094127756
Kepler-1264,20.24171655,,0.139973076,0.146586903
Kepler-1224,10.53603161,,0.083932439,0.089847335
Kepler-1222,27.91085803,,0.400764098,0.466818733
Kepler-1219,29.067,0.088,,
