Name,P_rot,P_rot_err,Prot_errm,Prot_errp
KIC 9893999,11.477,,,
KIC 9892699,4.456,,,
KIC 9892636,3.722,,,
KIC 9887338,13.442,,,
KIC 9887238,12.745,,,
KIC 9886450,6.849,,,
KIC 9886395,14.398,,,
KIC 9885607,24.527,,,
KIC 9884377,20.089,,,
KIC 9884277,1.61,,,
KIC 9883939,9.27,,,
KIC 9883864,7.037,,,
KIC 9883594,13.565,,,
KIC 9882703,13.744,,,
KIC 9881928,9.473,,,
KIC 9881857,7.621,,,
KIC 9881358,4.408,,,
KIC 9880839,12.524,,,
KIC 9880777,8.96,,,
KIC 9880549,9.528,,,
KIC 9880382,3.125,,,
KIC 9878503,13.744,,,
KIC 9875865,18.14,,,
KIC 9875707,19.797,,,
KIC 9874258,13.802,,,
KIC 9874152,11.398,,,
KIC 9873972,15.217,,,
KIC 9872872,20.357,,,
KIC 9872638,9.896,,,
KIC 9852613,11.864,,,
KIC 9852201,4.314,,,
KIC 9849712,7.843,,,
KIC 9849014,9.045,,,
KIC 9848298,23.506,,,
KIC 9848292,5.4,,,
KIC 9848000,1.707,,,
KIC 9847860,4.148,,,
KIC 9847115,18.467,,,
KIC 9846979,10.49,,,
KIC 9846353,6.02,,,
KIC 9846258,1.282,,,
KIC 9846223,15.142,,,
KIC 9845949,10.639,,,
KIC 9845245,3.661,,,
KIC 9843609,4.071,,,
KIC 9843399,13.946,,,
KIC 9843283,20.711,,,
KIC 9843225,11.596,,,
KIC 9842792,10.677,,,
KIC 9840250,14.02,,,
KIC 9840159,22.342,,,
KIC 9840129,4.077,,,
KIC 9839980,2.615,,,
KIC 9839872,17.838,,,
KIC 9839824,12.561,,,
KIC 9839260,10.701,,,
KIC 9838935,10.626,,,
KIC 9838602,9.859,,,
KIC 9838447,15.037,,,
KIC 9838246,22.342,,,
KIC 9838215,11.748,,,
KIC 9837495,9.897,,,
KIC 9836460,12.618,,,
KIC 9836168,10.101,,,
KIC 9835691,17.487,,,
KIC 9835366,5.488,,,
KIC 9834837,27.663,,,
KIC 9834508,17.42,,,
KIC 9834236,20.788,,,
KIC 9834221,20.096,,,
KIC 9832820,15.587,,,
KIC 9832727,2.823,,,
KIC 9832411,9.651,,,
KIC 9832382,9.309,,,
KIC 9828292,9.806,,,
KIC 9827656,9.329,,,
KIC 9827544,11.04,,,
KIC 9827120,16.589,,,
KIC 9827094,3.383,,,
KIC 9827087,15.426,,,
KIC 9827048,26.87,,,
KIC 9826668,18.159,,,
KIC 9826597,7.577,,,
KIC 9825515,17.482,,,
KIC 9825405,11.209,,,
KIC 9825404,17.509,,,
KIC 9825370,8.001,,,
KIC 9824744,20.301,,,
KIC 9824186,12.079,,,
KIC 9824105,11.526,,,
KIC 9823846,9.524,,,
KIC 9823756,11.804,,,
KIC 9823663,14.597,,,
KIC 9823433,12.665,,,
KIC 9823179,17.66,,,
KIC 9823103,16.343,,,
KIC 9821970,1.043,,,
KIC 9821908,1.273,,,
KIC 9821777,12.202,,,
KIC 9821545,13.722,,,
KIC 9821382,3.749,,,
KIC 9821232,13.977,,,
KIC 9821142,12.564,,,
KIC 9821105,21.221,,,
KIC 9821082,9.313,,,
KIC 9820789,4.629,,,
KIC 9820778,8.76,,,
KIC 9820578,11.134,,,
KIC 9820524,23.17,,,
KIC 9818222,11.122,,,
KIC 9818169,21.353,,,
KIC 9815309,12.05,,,
KIC 9815113,18.907,,,
KIC 9814158,9.443,,,
KIC 9813950,8.661,,,
KIC 9813745,3.986,,,
KIC 9813472,13.121,,,
KIC 9813465,1.912,,,
KIC 9812607,1.19,,,
KIC 9812511,8.794,,,
KIC 9812320,17.593,,,
KIC 9812086,19.276,,,
KIC 9812065,16.928,,,
KIC 9791615,6.607,,,
KIC 9790574,20.355,,,
KIC 9790355,6.356,,,
KIC 9790081,10.36,,,
KIC 9788828,4.301,,,
KIC 9787125,16.103,,,
KIC 9786893,10.539,,,
KIC 9786780,3.496,,,
KIC 9786363,2.323,,,
KIC 9786335,6.788,,,
KIC 9786071,10.693,,,
KIC 9785579,22.358,,,
KIC 9784973,7.25,,,
KIC 9784590,2.725,,,
KIC 9784213,3.043,,,
KIC 9782945,6.693,,,
KIC 9782847,11.001,,,
KIC 9780199,25.201,,,
KIC 9779373,4.654,,,
KIC 9778927,6.809,,,
KIC 9778187,9.586,,,
KIC 9778156,3.231,,,
KIC 9777909,19.544,,,
KIC 9777828,11.247,,,
KIC 9777737,1.19,,,
KIC 9777327,15.78,,,
KIC 9776916,11.215,,,
KIC 9776732,5.268,,,
KIC 9776614,11.841,,,
KIC 9776546,10.903,,,
KIC 9776475,9.311,,,
KIC 9775381,10.743,,,
KIC 9775219,4.671,,,
KIC 9775172,3.968,,,
KIC 9774430,10.379,,,
KIC 9774285,23.014,,,
KIC 9774201,12.962,,,
KIC 9773847,5.401,,,
KIC 9773626,4.308,,,
KIC 9773176,7.132,,,
KIC 9772971,5.054,,,
KIC 9772862,18.791,,,
KIC 9772849,9.522,,,
KIC 9772806,13.834,,,
KIC 9772788,17.596,,,
KIC 9772725,13.418,,,
KIC 9772630,1.979,,,
KIC 9771841,10.751,,,
KIC 9771453,22.642,,,
KIC 9771402,2.253,,,
KIC 9771332,12.106,,,
KIC 9771285,15.837,,,
KIC 9767793,11.306,,,
KIC 9767643,13.691,,,
KIC 9767564,1.701,,,
KIC 9766608,4.523,,,
KIC 9766511,3.162,,,
KIC 9765973,19.75,,,
KIC 9765523,11.763,,,
KIC 9765489,5.373,,,
KIC 9764489,10.727,,,
KIC 9763437,22.896,,,
KIC 9763099,11.141,,,
KIC 9762866,1.939,,,
KIC 9761752,15.674,,,
KIC 9760994,2.261,,,
KIC 9760640,17.092,,,
KIC 9760280,14.087,,,
KIC 9753511,9.745,,,
KIC 9753210,11.682,,,
KIC 9730022,7.812,,,
KIC 9729887,5.736,,,
KIC 9729127,17.238,,,
KIC 9728868,11.35,,,
KIC 9728408,8.085,,,
KIC 9726084,1.034,,,
KIC 9726032,19.849,,,
KIC 9726020,2.135,,,
KIC 9725561,15.662,,,
KIC 9723992,9.846,,,
KIC 9723760,5.076,,,
KIC 9723164,2.682,,,
KIC 9722677,15.701,,,
KIC 9722664,3.168,,,
KIC 9718664,10.83,,,
KIC 9718187,21.754,,,
KIC 9718106,11.099,,,
KIC 9717567,12.73,,,
KIC 9717386,16.138,,,
KIC 9716650,10.908,,,
KIC 9716645,1.373,,,
KIC 9716502,9.726,,,
KIC 9716189,11.897,,,
KIC 9716169,3.958,,,
KIC 9716146,3.964,,,
KIC 9716112,9.284,,,
KIC 9716092,14.219,,,
KIC 9716008,9.829,,,
KIC 9715969,13.349,,,
KIC 9715798,9.625,,,
KIC 9715600,11.524,,,
KIC 9715580,4.761,,,
KIC 9715488,1.753,,,
KIC 9715138,20.426,,,
KIC 9714605,13.241,,,
KIC 9714572,3.476,,,
KIC 9713986,2.925,,,
KIC 9713715,16.961,,,
KIC 9713399,7.714,,,
KIC 9713242,6.322,,,
KIC 9712943,19.979,,,
KIC 9712941,19.003,,,
KIC 9712799,2.233,,,
KIC 9712736,2.012,,,
KIC 9712552,2.926,,,
KIC 9712259,17.42,,,
KIC 9711999,16.835,,,
KIC 9710941,18.328,,,
KIC 9710739,16.654,,,
KIC 9710336,4.424,,,
KIC 9706951,15.013,,,
KIC 9706486,16.284,,,
KIC 9705287,15.926,,,
KIC 9705098,12.846,,,
KIC 9704997,15.762,,,
KIC 9704724,10.182,,,
KIC 9704713,5.847,,,
KIC 9704377,15.637,,,
KIC 9704269,4.171,,,
KIC 9703982,28.257,,,
KIC 9703887,12.068,,,
KIC 9703555,19.225,,,
KIC 9702922,17.957,,,
KIC 9702479,10.11,,,
KIC 9701988,20.048,,,
KIC 9701012,12.622,,,
KIC 9700359,13.521,,,
KIC 9700181,1.424,,,
KIC 9700065,25.601,,,
KIC 9697563,10.324,,,
KIC 9697509,7.286,,,
KIC 9697306,20.456,,,
KIC 9697299,1.053,,,
KIC 9697208,11.851,,,
KIC 9696971,11.97,,,
KIC 9693812,12.784,,,
KIC 9693806,19.65,,,
KIC 9693506,11.044,,,
KIC 9693387,18.825,,,
KIC 9692944,19.544,,,
KIC 9692230,10.115,,,
KIC 9692206,14.756,,,
KIC 9674595,10.555,,,
KIC 9674345,1.813,,,
KIC 9673870,5.039,,,
KIC 9673750,22.078,,,
KIC 9673270,2.896,,,
KIC 9668997,9.085,,,
KIC 9668065,13.503,,,
KIC 9667853,14.666,,,
KIC 9667852,7.783,,,
KIC 9667490,10.807,,,
KIC 9666597,2.563,,,
KIC 9666173,4.154,,,
KIC 9665919,11.433,,,
KIC 9664493,10.555,,,
KIC 9663988,10.223,,,
KIC 9663523,6.023,,,
KIC 9663056,5.248,,,
KIC 9663025,4.78,,,
KIC 9662425,10.539,,,
KIC 9662392,1.025,,,
KIC 9662061,14.019,,,
KIC 9659131,11.107,,,
KIC 9659036,4.991,,,
KIC 9658673,19.796,,,
KIC 9657772,15.381,,,
KIC 9657726,18.035,,,
KIC 9656994,3.872,,,
KIC 9656556,7.654,,,
KIC 9656480,4.826,,,
KIC 9655917,8.911,,,
KIC 9655891,11.075,,,
KIC 9655785,12.377,,,
KIC 9655677,11.004,,,
KIC 9655661,23.729,,,
KIC 9655609,10.936,,,
KIC 9655469,11.43,,,
KIC 9655458,9.646,,,
KIC 9655435,11.854,,,
KIC 9655417,13.237,,,
KIC 9655315,10.868,,,
KIC 9655310,10.123,,,
KIC 9655233,5.45,,,
KIC 9655172,11.16,,,
KIC 9655145,1.492,,,
KIC 9655094,20.454,,,
KIC 9655045,2.939,,,
KIC 9654982,11.68,,,
KIC 9654919,11.052,,,
KIC 9654627,10.985,,,
KIC 9654453,13.119,,,
KIC 9653422,25.292,,,
KIC 9653110,3.126,,,
KIC 9652680,1.407,,,
KIC 9652302,1.274,,,
KIC 9652255,10.837,,,
KIC 9651625,5.064,,,
KIC 9651374,2.76,,,
KIC 9650957,1.155,,,
KIC 9650530,13.66,,,
KIC 9650017,8.183,,,
KIC 9649906,10.233,,,
KIC 9649798,5.506,,,
KIC 9649220,5.662,,,
KIC 9645084,6.574,,,
KIC 9644748,12.129,,,
KIC 9644202,13.212,,,
KIC 9643841,4.065,,,
KIC 9643691,13.871,,,
KIC 9643552,14.792,,,
KIC 9643271,14.01,,,
KIC 9643241,7.107,,,
KIC 9643215,11.09,,,
KIC 9641312,8.797,,,
KIC 9641301,13.63,,,
KIC 9640860,11.741,,,
KIC 9640599,11.666,,,
KIC 9639455,2.302,,,
KIC 9639035,20.612,,,
KIC 9639021,11.952,,,
KIC 9637631,21.887,,,
KIC 9637196,12.69,,,
KIC 9637007,20.484,,,
KIC 9636126,13.167,,,
KIC 9636090,15.709,,,
KIC 9632532,16.747,,,
KIC 9632432,20.046,,,
KIC 9632007,7.76,,,
KIC 9631366,7.099,,,
KIC 9630671,6.567,,,
KIC 9630640,1.831,,,
KIC 9630570,19.75,,,
KIC 9613610,13.378,,,
KIC 9613452,1.383,,,
KIC 9613290,13.741,,,
KIC 9612347,5.104,,,
KIC 9612225,1.569,,,
KIC 9612171,12.988,,,
KIC 9612106,13.947,,,
KIC 9611608,13.054,,,
KIC 9606336,1.521,,,
KIC 9606106,1.848,,,
KIC 9604664,10.018,,,
KIC 9604510,6.495,,,
KIC 9603679,23.035,,,
KIC 9603472,16.728,,,
KIC 9603445,3.561,,,
KIC 9603367,12.079,,,
KIC 9602495,19.298,,,
KIC 9601485,5.604,,,
KIC 9601420,20.409,,,
KIC 9598507,15.122,,,
KIC 9598483,18.181,,,
KIC 9598232,11.326,,,
KIC 9598005,3.23,,,
KIC 9597882,7.299,,,
KIC 9597454,14.095,,,
KIC 9597440,13.055,,,
KIC 9596946,16.267,,,
KIC 9596267,1.098,,,
KIC 9596261,11.65,,,
KIC 9596181,3.585,,,
KIC 9595291,12.993,,,
KIC 9595230,2.464,,,
KIC 9594843,2.577,,,
KIC 9594747,20.204,,,
KIC 9594645,10.441,,,
KIC 9594041,25.302,,,
KIC 9593921,14.355,,,
KIC 9593885,10.122,,,
KIC 9593883,10.272,,,
KIC 9593736,3.31,,,
KIC 9591765,1.334,,,
KIC 9591593,22.977,,,
KIC 9590661,3.148,,,
KIC 9590392,7.247,,,
KIC 9590249,2.167,,,
KIC 9590105,15.139,,,
KIC 9589867,7.997,,,
KIC 9588953,1.085,,,
KIC 9588783,7.897,,,
KIC 9588461,13.558,,,
KIC 9588232,1.633,,,
KIC 9583255,9.335,,,
KIC 9582666,10.555,,,
KIC 9581885,10.662,,,
KIC 9581390,1.768,,,
KIC 9581183,10.862,,,
KIC 9581106,13.527,,,
KIC 9580987,24.643,,,
KIC 9580957,3.192,,,
KIC 9580955,9.41,,,
KIC 9580910,15.724,,,
KIC 9580728,17.446,,,
KIC 9580312,3.909,,,
KIC 9579876,11.202,,,
KIC 9579643,12.049,,,
KIC 9579584,1.597,,,
KIC 9579266,10.606,,,
KIC 9579050,4.23,,,
KIC 9578919,15.039,,,
KIC 9578800,6.662,,,
KIC 9578763,22.627,,,
KIC 9578759,8.754,,,
KIC 9578609,12.161,,,
KIC 9575937,14.707,,,
KIC 9575777,21.154,,,
KIC 9575133,13.587,,,
KIC 9575042,19.417,,,
KIC 9574994,12.528,,,
KIC 9574939,15.767,,,
KIC 9574751,17.906,,,
KIC 9574060,6.662,,,
KIC 9573722,19.609,,,
KIC 9573527,20.426,,,
KIC 9573061,12.038,,,
KIC 9571057,13.844,,,
KIC 9570709,15.293,,,
KIC 9570523,8.281,,,
KIC 9570426,16.994,,,
KIC 9570305,16.99,,,
KIC 9569210,20.662,,,
KIC 9552574,6.775,,,
KIC 9552411,1.224,,,
KIC 9552214,16.186,,,
KIC 9551226,7.899,,,
KIC 9549741,5.992,,,
KIC 9549705,11.393,,,
KIC 9549091,3.057,,,
KIC 9548991,6.16,,,
KIC 9548761,16.553,,,
KIC 9548545,11.112,,,
KIC 9542251,17.048,,,
KIC 9540796,1.58,,,
KIC 9539841,12.81,,,
KIC 9536645,5.493,,,
KIC 9536311,18.628,,,
KIC 9535985,14.299,,,
KIC 9535657,2.824,,,
KIC 9535247,15.741,,,
KIC 9535182,18.462,,,
KIC 9534862,19.697,,,
KIC 9534406,5.837,,,
KIC 9534366,19.33,,,
KIC 9534170,18.657,,,
KIC 9533955,3.922,,,
KIC 9533670,11.418,,,
KIC 9533595,3.235,,,
KIC 9533452,8.672,,,
KIC 9533200,1.3,,,
KIC 9533014,6.94,,,
KIC 9532939,14.898,,,
KIC 9532430,12.512,,,
KIC 9532418,5.458,,,
KIC 9532321,13.311,,,
KIC 9532127,10.23,,,
KIC 9531467,11.435,,,
KIC 9530263,8.16,,,
KIC 9530170,3.234,,,
KIC 9529993,10.192,,,
KIC 9529214,10.758,,,
KIC 9528521,6.421,,,
KIC 9528293,13.673,,,
KIC 9527692,9.958,,,
KIC 9527194,19.413,,,
KIC 9527088,11.288,,,
KIC 9526927,18.751,,,
KIC 9521317,9.526,,,
KIC 9521080,15.427,,,
KIC 9520963,18.499,,,
KIC 9520539,17.508,,,
KIC 9520317,19.339,,,
KIC 9520089,1.464,,,
KIC 9519853,11,,,
KIC 9519773,17.097,,,
KIC 9519623,4.439,,,
KIC 9519435,1.387,,,
KIC 9519422,4.686,,,
KIC 9519349,10.086,,,
KIC 9518982,20.791,,,
KIC 9518205,21.253,,,
KIC 9517991,18.399,,,
KIC 9517766,18.372,,,
KIC 9515223,10.518,,,
KIC 9515082,3.888,,,
KIC 9515073,12.78,,,
KIC 9515049,9.7,,,
KIC 9515011,14.321,,,
KIC 9513786,10.255,,,
KIC 9513720,12.603,,,
KIC 9513644,8.783,,,
KIC 9513589,21.086,,,
KIC 9513524,21.406,,,
KIC 9512722,5.999,,,
KIC 9512316,14.38,,,
KIC 9512137,14.181,,,
KIC 9512039,3.395,,,
KIC 9509579,14.539,,,
KIC 9509259,5.37,,,
KIC 9508099,2.53,,,
KIC 9492028,11.309,,,
KIC 9492001,13.101,,,
KIC 9491823,13.252,,,
KIC 9491750,20.405,,,
KIC 9491147,18.606,,,
KIC 9490881,9.823,,,
KIC 9489970,16.709,,,
KIC 9489529,10.498,,,
KIC 9489512,15.9,,,
KIC 9489365,5.011,,,
KIC 9489236,7.717,,,
KIC 9488919,4.34,,,
KIC 9488740,9.134,,,
KIC 9487931,13.981,,,
KIC 9487902,13.664,,,
KIC 9487442,3.01,,,
KIC 9486984,6.792,,,
KIC 9486955,14.623,,,
KIC 9481758,17.503,,,
KIC 9481106,11.144,,,
KIC 9480850,10.282,,,
KIC 9480808,8.597,,,
KIC 9478848,7.111,,,
KIC 9475936,12.802,,,
KIC 9475922,12.68,,,
KIC 9475625,11.731,,,
KIC 9475321,9.656,,,
KIC 9475042,5.435,,,
KIC 9474995,6.06,,,
KIC 9474819,7.298,,,
KIC 9474239,6.149,,,
KIC 9474225,2.926,,,
KIC 9473570,9.128,,,
KIC 9473359,21.263,,,
KIC 9472943,19.462,,,
KIC 9472930,15.304,,,
KIC 9472897,19.601,,,
KIC 9472375,6.683,,,
KIC 9472251,14.243,,,
KIC 9472157,21.098,,,
KIC 9471846,1.189,,,
KIC 9471419,10.091,,,
KIC 9471344,6.497,,,
KIC 9471316,11.951,,,
KIC 9471038,11.505,,,
KIC 9470955,12.28,,,
KIC 9469908,10.809,,,
KIC 9469612,7.515,,,
KIC 9469261,5.833,,,
KIC 9468966,1.3,,,
KIC 9468841,12.468,,,
KIC 9468355,12.66,,,
KIC 9468242,16.437,,,
KIC 9467899,16.718,,,
KIC 9467895,13.593,,,
KIC 9467373,13.872,,,
KIC 9467370,18.328,,,
KIC 9467342,13.362,,,
KIC 9466571,14.835,,,
KIC 9466312,5.205,,,
KIC 9466245,14.758,,,
KIC 9465796,3.157,,,
KIC 9465696,11.704,,,
KIC 9465671,5.617,,,
KIC 9463210,12.827,,,
KIC 9463134,15.122,,,
KIC 9459474,13.634,,,
KIC 9459463,3.5,,,
KIC 9459362,12.447,,,
KIC 9458521,22.429,,,
KIC 9458438,2.747,,,
KIC 9458280,13.389,,,
KIC 9458187,8.96,,,
KIC 9457453,7.27,,,
KIC 9456901,6.559,,,
KIC 9456270,14.321,,,
KIC 9456203,1.166,,,
KIC 9456198,7.802,,,
KIC 9455756,23.721,,,
KIC 9455694,20.656,,,
KIC 9455236,25.714,,,
KIC 9455103,12.799,,,
KIC 9453218,2.941,,,
KIC 9452921,20.797,,,
KIC 9451323,10.895,,,
KIC 9451256,23.933,,,
KIC 9450669,4.775,,,
KIC 9450259,19.558,,,
KIC 9449643,12.366,,,
KIC 9449234,1.961,,,
KIC 9430846,3.987,,,
KIC 9430321,12.907,,,
KIC 9429955,7.537,,,
KIC 9429593,13.558,,,
KIC 9429137,11.388,,,
KIC 9428817,2.085,,,
KIC 9428476,10.635,,,
KIC 9428236,1.129,,,
KIC 9428173,6.434,,,
KIC 9428095,23.291,,,
KIC 9427378,6.961,,,
KIC 9427368,18.212,,,
KIC 9427265,10.482,,,
KIC 9427144,15.091,,,
KIC 9426197,10.368,,,
KIC 9425635,15,,,
KIC 9425506,6.168,,,
KIC 9419694,1.464,,,
KIC 9418850,12.655,,,
KIC 9418746,12.749,,,
KIC 9418499,7.796,,,
KIC 9414842,11.288,,,
KIC 9414747,5.271,,,
KIC 9414501,4.082,,,
KIC 9414492,21.116,,,
KIC 9414180,13.947,,,
KIC 9414097,1.874,,,
KIC 9413885,3.304,,,
KIC 9413834,8.185,,,
KIC 9413712,12.857,,,
KIC 9413663,12.118,,,
KIC 9413538,14.442,,,
KIC 9412725,7.575,,,
KIC 9412605,5.023,,,
KIC 9412514,3.707,,,
KIC 9412308,3.905,,,
KIC 9412258,13.052,,,
KIC 9412057,8.398,,,
KIC 9411840,2.305,,,
KIC 9411748,11.524,,,
KIC 9411563,13.128,,,
KIC 9411323,8.381,,,
KIC 9411071,3.683,,,
KIC 9410923,12.368,,,
KIC 9410888,19.944,,,
KIC 9410241,7.099,,,
KIC 9409548,7.208,,,
KIC 9409238,7.958,,,
KIC 9409212,5.184,,,
KIC 9409106,10.877,,,
KIC 9408553,13.947,,,
KIC 9408373,4.982,,,
KIC 9408048,7.061,,,
KIC 9408035,6.642,,,
KIC 9407907,2.467,,,
KIC 9407581,4.298,,,
KIC 9407578,14.246,,,
KIC 9407213,13.865,,,
KIC 9406896,14.371,,,
KIC 9406607,13.074,,,
KIC 9405969,3.985,,,
KIC 9405865,1.344,,,
KIC 9405477,20.758,,,
KIC 9402479,2.609,,,
KIC 9402438,13.624,,,
KIC 9402124,2.437,,,
KIC 9402081,13.445,,,
KIC 9401951,13.833,,,
KIC 9401856,3.032,,,
KIC 9401648,14.878,,,
KIC 9401635,26.171,,,
KIC 9401571,17.863,,,
KIC 9398411,16.643,,,
KIC 9398382,8.192,,,
KIC 9398137,11.652,,,
KIC 9397989,2.131,,,
KIC 9397642,13.524,,,
KIC 9396990,19.117,,,
KIC 9396793,10.003,,,
KIC 9395873,20.671,,,
KIC 9395373,18.844,,,
KIC 9395222,1.487,,,
KIC 9395205,5.024,,,
KIC 9395164,11.948,,,
KIC 9393108,16.96,,,
KIC 9392349,14.442,,,
KIC 9392121,13.742,,,
KIC 9391492,7.333,,,
KIC 9390664,6.632,,,
KIC 9389658,2.62,,,
KIC 9388493,19.564,,,
KIC 9386300,15.753,,,
KIC 9385959,5.697,,,
KIC 9369544,7.942,,,
KIC 9369295,15.317,,,
KIC 9368873,22.424,,,
KIC 9368720,15.12,,,
KIC 9368681,16.894,,,
KIC 9368662,14.869,,,
KIC 9368360,12.802,,,
KIC 9367345,19.751,,,
KIC 9367154,13.664,,,
KIC 9366795,5.067,,,
KIC 9366772,5.322,,,
KIC 9366643,17.967,,,
KIC 9365561,10.272,,,
KIC 9364836,13.071,,,
KIC 9364543,1.807,,,
KIC 9362445,4.085,,,
KIC 9356801,1.699,,,
KIC 9352231,9.14,,,
KIC 9351896,7.683,,,
KIC 9351448,12.647,,,
KIC 9351358,13.103,,,
KIC 9351095,6.597,,,
KIC 9351012,4.993,,,
KIC 9350876,13.406,,,
KIC 9350875,12.822,,,
KIC 9350552,11.235,,,
KIC 9350235,1.408,,,
KIC 9349749,1.446,,,
KIC 9349055,12.101,,,
KIC 9348964,19.094,,,
KIC 9348928,6.954,,,
KIC 9347432,22.169,,,
KIC 9346592,5.351,,,
KIC 9346591,4.042,,,
KIC 9346348,9.971,,,
KIC 9345624,12.079,,,
KIC 9345271,8.495,,,
KIC 9344990,7.455,,,
KIC 9344807,6.822,,,
KIC 9344782,8.743,,,
KIC 9343869,14.508,,,
KIC 9343666,9.971,,,
KIC 9340958,7.776,,,
KIC 9340955,3.849,,,
KIC 9340769,3.06,,,
KIC 9340565,12.079,,,
KIC 9340291,1.354,,,
KIC 9339790,23.562,,,
KIC 9339297,11.567,,,
KIC 9336219,9.376,,,
KIC 9336208,12.743,,,
KIC 9335973,7.575,,,
KIC 9335932,13.412,,,
KIC 9335684,8.866,,,
KIC 9335087,15.142,,,
KIC 9334867,15.265,,,
KIC 9334394,14.095,,,
KIC 9333840,20.089,,,
KIC 9333212,8.824,,,
KIC 9332741,13.317,,,
KIC 9331328,12.961,,,
KIC 9331054,18.982,,,
KIC 9329571,9.451,,,
KIC 9329177,21.672,,,
KIC 9328799,11.909,,,
KIC 9327148,14.922,,,
KIC 9326711,4.683,,,
KIC 9326184,16.403,,,
KIC 9308371,3.037,,,
KIC 9308289,8.793,,,
KIC 9308239,6.082,,,
KIC 9306597,1.447,,,
KIC 9306271,1.013,,,
KIC 9306231,16.207,,,
KIC 9306095,2.09,,,
KIC 9305357,4.172,,,
KIC 9305231,7.843,,,
KIC 9304963,17.864,,,
KIC 9304809,10.757,,,
KIC 9304752,18.642,,,
KIC 9303842,7.86,,,
KIC 9303609,25.47,,,
KIC 9302506,11.259,,,
KIC 9301964,12.851,,,
KIC 9301267,8.384,,,
KIC 9299986,2.416,,,
KIC 9299787,5.53,,,
KIC 9292405,10.43,,,
KIC 9292041,17.375,,,
KIC 9291759,5.328,,,
KIC 9291325,19.419,,,
KIC 9291275,1.039,,,
KIC 9291123,14.84,,,
KIC 9290688,13.101,,,
KIC 9290677,14.785,,,
KIC 9290455,16.246,,,
KIC 9290266,14.804,,,
KIC 9289916,18.086,,,
KIC 9289433,7.992,,,
KIC 9289009,9.798,,,
KIC 9288148,13.422,,,
KIC 9288124,7.539,,,
KIC 9287933,10.553,,,
KIC 9287712,6.94,,,
KIC 9287502,1.807,,,
KIC 9287446,14.906,,,
KIC 9286866,9.579,,,
KIC 9286860,8.791,,,
KIC 9286527,26.062,,,
KIC 9286324,7.985,,,
KIC 9286138,10.657,,,
KIC 9286118,10.441,,,
KIC 9285996,22.379,,,
KIC 9284819,11.182,,,
KIC 9284379,6.392,,,
KIC 9284099,1.932,,,
KIC 9283991,11.047,,,
KIC 9283985,4.632,,,
KIC 9283980,10.76,,,
KIC 9283708,16.29,,,
KIC 9283572,1.217,,,
KIC 9283386,17.27,,,
KIC 9282882,20.576,,,
KIC 9282598,12.86,,,
KIC 9280010,6.729,,,
KIC 9279846,3.227,,,
KIC 9279516,19.28,,,
KIC 9279451,6.556,,,
KIC 9279388,22.438,,,
KIC 9278686,12.778,,,
KIC 9278505,1.339,,,
KIC 9278473,10.601,,,
KIC 9278258,14.968,,,
KIC 9274513,15.465,,,
KIC 9273855,11.519,,,
KIC 9273730,13.804,,,
KIC 9273364,13.339,,,
KIC 9272511,19.093,,,
KIC 9272197,18.067,,,
KIC 9271869,13.576,,,
KIC 9271789,22.701,,,
KIC 9270059,16.312,,,
KIC 9269023,8.063,,,
KIC 9268965,13.048,,,
KIC 9268283,2.035,,,
KIC 9268249,9.973,,,
KIC 9268128,10.336,,,
KIC 9267921,15.676,,,
KIC 9267818,10.66,,,
KIC 9267759,10.631,,,
KIC 9266689,24.167,,,
KIC 9265564,7.379,,,
KIC 9265362,3.701,,,
KIC 9265337,17.038,,,
KIC 9265173,24.374,,,
KIC 9264468,16.983,,,
KIC 9246356,4.641,,,
KIC 9246161,2.492,,,
KIC 9245968,17.097,,,
KIC 9245070,1.101,,,
KIC 9244528,13.744,,,
KIC 9244164,14.014,,,
KIC 9243671,4.027,,,
KIC 9243051,9.679,,,
KIC 9243008,6.137,,,
KIC 9242840,2.039,,,
KIC 9242654,6.004,,,
KIC 9242427,4.584,,,
KIC 9242383,1.599,,,
KIC 9241346,20.999,,,
KIC 9240784,7.657,,,
KIC 9239775,8.479,,,
KIC 9239602,14.4,,,
KIC 9238276,3.047,,,
KIC 9237575,16.778,,,
KIC 9237445,1.088,,,
KIC 9236960,14.655,,,
KIC 9230012,7.49,,,
KIC 9229676,7.468,,,
KIC 9229470,9.633,,,
KIC 9229372,4.325,,,
KIC 9229342,21.846,,,
KIC 9229171,7.098,,,
KIC 9229016,10.489,,,
KIC 9228962,19.094,,,
KIC 9228927,6.454,,,
KIC 9228734,2.375,,,
KIC 9228398,17.858,,,
KIC 9228333,7.331,,,
KIC 9228234,12.532,,,
KIC 9228077,9.866,,,
KIC 9227629,21.101,,,
KIC 9226959,2.81,,,
KIC 9226550,4.714,,,
KIC 9226540,3.258,,,
KIC 9225647,18.567,,,
KIC 9225384,13.552,,,
KIC 9224698,6.897,,,
KIC 9224372,12.647,,,
KIC 9224362,8.654,,,
KIC 9224204,17.144,,,
KIC 9223780,9.488,,,
KIC 9222584,16.469,,,
KIC 9222284,18.912,,,
KIC 9221352,8.135,,,
KIC 9220341,10.977,,,
KIC 9220235,5.481,,,
KIC 9220002,7.971,,,
KIC 9217460,17.728,,,
KIC 9217246,10.723,,,
KIC 9217049,5.436,,,
KIC 9216811,15.422,,,
KIC 9216561,10.163,,,
KIC 9216075,15.601,,,
