Name,vsini,e_vsini,prot,e_prot,e_prot(L),e_prot(U)
TYC 3563-1022-1,272,60,,,,
TYC 3562-505-1,132,91,,,,
TYC 3562-32-1,246,67,,,,
TYC 3562-2126-1,206,49,,,,
TYC 3562-1846-1,232,73,,,,
TYC 3562-1829-1,125,105,,,,
TYC 3562-1551-1,220,41,,,,
TYC 3562-1380-1,170,100,,,,
TYC 3561-940-1,126,104,,,,
TYC 3561-914-1,196,74,,,,
TYC 3561-906-1,203,60,,,,
TYC 3561-781-1,217,121,,,,
TYC 3561-2050-1,297,68,,,,
TYC 3561-2016-1,217,71,,,,
TYC 3561-1719-1,177,50,,,,
TYC 3561-1295-1,135,134,,,,
TYC 3561-1002-1,188,121,,,,
TYC 3560-936-1,188,33,,,,
TYC 3560-561-1,178,64,,,,
TYC 3560-3023-1,250,30,,,,
TYC 3560-2896-1,183,117,,,,
TYC 3560-2452-1,120,62,,,,
TYC 3560-1962-1,136,84,,,,
TYC 3560-1875-1,142,91,,,,
TYC 3559-68-1,142,93,,,,
TYC 3559-360-1,127,100,,,,
TYC 3559-2620-1,160,142,,,,
TYC 3559-2544-1,126,71,,,,
TYC 3559-250-1,134,107,,,,
TYC 3559-2421-1,131,78,,,,
TYC 3559-2184-1,255,63,,,,
TYC 3559-1875-1,197,56,,,,
TYC 3559-1812-1,167,56,,,,
TYC 3559-1634-1,120,91,,,,
TYC 3559-1359-1,342,44,,,,
TYC 3559-1265-1,243,66,,,,
TYC 3558-983-1,199,63,,,,
TYC 3558-939-1,247,34,,,,
TYC 3558-790-1,269,60,,,,
TYC 3558-682-1,122,115,,,,
TYC 3558-587-1,142,90,,,,
TYC 3558-395-1,290,62,,,,
TYC 3558-2397-1,212,50,,,,
TYC 3558-2185-1,186,34,,,,
TYC 3558-218-1,228,72,,,,
TYC 3558-2140-1,312,76,,,,
TYC 3558-2110-1,247,55,,,,
TYC 3558-2045-1,132,93,,,,
TYC 3558-182-1,133,89,,,,
TYC 3558-167-1,146,46,,,,
TYC 3558-1487-1,121,79,,,,
TYC 3558-1435-1,132,105,,,,
TYC 3558-1361-1,121,80,,,,
TYC 3558-1324-1,139,33,,,,
TYC 3558-1003-1,144,29,,,,
TYC 3557-99-1,156,50,,,,
TYC 3557-441-1,162,129,,,,
TYC 3557-434-1,153,48,,,,
TYC 3557-428-1,246,72,,,,
TYC 3557-2352-1,146,83,,,,
TYC 3557-2174-1,179,57,,,,
TYC 3557-2105-1,255,50,,,,
TYC 3557-2037-1,203,37,,,,
TYC 3557-1867-1,162,43,,,,
TYC 3557-1418-1,186,55,,,,
TYC 3557-111-1,126,64,,,,
TYC 3556-3297-1,143,47,,,,
TYC 3556-3296-1,127,97,,,,
TYC 3556-3291-1,189,29,,,,
TYC 3556-1514-1,128,48,,,,
TYC 3556-1380-1,147,97,,,,
TYC 3555-974-1,148,65,,,,
TYC 3555-862-1,152,49,,,,
TYC 3555-75-1,164,31,,,,
TYC 3555-2083-1,169,53,,,,
TYC 3555-1643-1,126,92,,,,
TYC 3555-1275-1,282,58,,,,
TYC 3554-754-1,261,54,,,,
TYC 3554-514-1,139,24,,,,
TYC 3554-447-1,164,43,,,,
TYC 3553-667-1,191,128,,,,
TYC 3551-561-1,149,51,,,,
TYC 3551-2479-1,127,62,,,,
TYC 3551-1982-1,150,60,,,,
TYC 3551-1965-1,212,28,,,,
TYC 3551-1707-1,133,88,,,,
TYC 3550-997-1,244,44,,,,
TYC 3550-1614-1,249,36,,,,
TYC 3549-900-1,122,34,,,,
TYC 3549-375-1,214,48,,,,
TYC 3549-2630-1,124,79,,,,
TYC 3549-1272-1,330,31,,,,
TYC 3548-1591-1,285,78,,,,
TYC 3547-737-1,154,45,,,,
TYC 3547-2745-1,129,25,,,,
TYC 3547-2110-1,190,50,,,,
TYC 3547-195-1,181,81,,,,
TYC 3547-1575-1,124,38,,,,
TYC 3547-1172-1,135,101,,,,
TYC 3547-1116-1,240,80,,,,
TYC 3546-220-1,223,61,,,,
TYC 3546-1184-1,260,30,,,,
TYC 3545-69-1,126,74,,,,
TYC 3545-2427-1,201,36,,,,
TYC 3544-674-1,177,32,,,,
TYC 3544-2446-1,174,94,,,,
TYC 3543-371-1,125,136,,,,
TYC 3543-2942-1,144,108,,,,
TYC 3543-254-1,288,73,,,,
TYC 3543-2467-1,274,40,,,,
TYC 3543-2174-1,123,37,,,,
TYC 3543-1899-1,156,82,,,,
TYC 3543-1068-1,122,32,,,,
TYC 3542-864-1,267,49,,,,
TYC 3542-2409-1,230,19,,,,
TYC 3542-2292-1,299,47,,,,
TYC 3541-622-1,197,32,,,,
TYC 3541-572-1,232,40,,,,
TYC 3541-331-1,122,24,,,,
TYC 3541-1837-1,177,31,,,,
TYC 3527-2517-1,400,1,,,,
TYC 3162-72-1,159,89,,,,
TYC 3162-649-1,235,81,,,,
TYC 3162-592-1,206,46,,,,
TYC 3162-332-1,149,46,,,,
TYC 3162-186-1,126,89,,,,
TYC 3162-1752-1,122,89,,,,
TYC 3162-162-1,123,105,,,,
TYC 3162-1069-1,154,104,,,,
