Name,prot,e_prot
KIC 10603757,23.357,0.334
KIC 9774285,23.337,0.202
KIC 6939026,23.327,0.423
KIC 11457072,23.32,0.126
KIC 12554308,23.314,0.447
KIC 10529777,23.311,0.166
KIC 11299203,23.293,0.044
KIC 9993819,23.291,0.215
KIC 9451256,23.281,0.019
KIC 11670555,23.281,0.696
KOI-6919,23.276,0.158
KIC 11357674,23.275,0.157
TYC 3554-5-1,23.271,0.172
KIC 12303780,23.26,0.158
KIC 9339790,23.223,0.167
KIC 11808491,23.219,0.046
KIC 4544859,23.214,0.151
KIC 7105676,23.195,0.158
KIC 3222103,23.186,0.267
KIC 8780122,23.172,0.117
KIC 4546591,23.17,0.218
KIC 12301030,23.16,0.021
KIC 6143158,23.155,0.313
KIC 8143737,23.15,0.099
KIC 11404458,23.149,0.1
KIC 7418215,23.13,0.119
KIC 4646804,23.125,0.108
KIC 10006032,23.123,0.064
KIC 9458521,23.122,0.59
KIC 10385803,23.118,0.242
KIC 12646439,23.11,0.052
KOI-3215,23.1,3.23
KIC 11622561,23.099,0.101
KIC 10000976,23.099,1.088
KIC 8349498,23.096,0.109
KIC 11718261,23.095,0.049
KIC 6497141,23.091,0.062
KIC 9591593,23.089,0.011
KIC 12056506,23.08,0.035
KIC 9150977,23.063,0.136
KIC 7663680,23.06,0.106
KIC 11769500,23.055,0.042
KIC 2448958,23.051,0.162
KIC 6946682,23.05,0.014
KIC 8366205,23.047,0.131
KIC 8873983,23.046,0.046
KIC 12255339,23.039,0.098
KIC 8277836,23.017,0.054
KIC 5351399,23.016,0.056
KIC 6447280,23.015,0.078
KIC 10353303,23.015,0.092
KIC 11188530,23,0.057
KIC 11918412,22.969,0.084
KIC 12119180,22.962,0.086
KIC 11032573,22.962,0.02
KIC 11954697,22.953,0.279
KIC 8952315,22.943,0.176
TYC 3542-87-1,22.921,0.039
KIC 5734417,22.897,0.787
KIC 7954276,22.896,0.189
KIC 7749104,22.893,0.101
KIC 10135207,22.893,0.114
KIC 11033193,22.885,0.21
KIC 9959884,22.884,0.087
