0,1
V* V746 Lyr,-1
V* V746 Lyr,-1
V* V746 Lyr,-1
V* V616 Lyr,16.681
V* V616 Lyr,16.415
V* V613 Lyr,11.717
V* V613 Lyr,11.706
V* V607 Lyr,14.733
V* V607 Lyr,13.767
USNO-A2.0 1275-13295806,8.083
USNO-A2.0 1275-13295806,8.089
USNO-A2.0 1275-13213893,4.07
USNO-A2.0 1275-13213893,4.035
USNO-A2.0 1275-13184245,5.391
USNO-A2.0 1275-13184245,5.427
USNO-A2.0 1275-13163118,6.354
USNO-A2.0 1275-13163118,6.355
UCAC4 672-080669,4.886
UCAC4 672-080669,4.896
UCAC4 672-080641,18.387
UCAC4 672-080641,17.934
UCAC4 671-082954,6.44
UCAC4 671-082954,6.474
UCAC4 671-082920,7.289
UCAC4 671-082920,7.217
UCAC4 671-082807,11.265
UCAC4 671-082807,11.241
UCAC4 671-082647,11.567
UCAC4 671-082647,12.13
UCAC4 671-082644,13.917
UCAC4 671-082644,13.432
UCAC4 671-082452,13.885
UCAC4 671-082452,13.913
UCAC4 653-081422,11.658
UCAC4 653-081422,11.709
UCAC2  45029735,9.817
UCAC2  45029735,9.59
TYC 3569-42-1,6.381
TYC 3569-42-1,6.536
TYC 3569-388-1,16.882
TYC 3569-388-1,17.557
TYC 3569-276-1,15.941
TYC 3569-276-1,16.516
TYC 3566-589-1,2.752
TYC 3566-589-1,2.79
TYC 3565-981-1,5.138
TYC 3565-981-1,5.174
TYC 3565-85-1,-1
TYC 3565-85-1,-1
TYC 3565-686-1,1.666
TYC 3565-686-1,1.649
TYC 3565-580-1,2.13
TYC 3565-580-1,2.135
TYC 3565-1440-1,11.567
TYC 3565-1440-1,11.584
TYC 3565-1361-1,12.52
TYC 3565-1361-1,12.514
TYC 3565-1354-1,2.286
TYC 3565-1354-1,2.295
TYC 3565-1198-1,18.372
TYC 3565-1198-1,18.291
TYC 3565-1149-1,6.948
TYC 3565-1149-1,6.898
TYC 3564-871-1,7.496
TYC 3564-871-1,7.172
TYC 3564-473-1,22.802
TYC 3564-473-1,23.575
TYC 3564-2425-1,2.318
TYC 3564-2425-1,2.311
TYC 3564-2324-1,5.329
TYC 3564-2324-1,5.143
TYC 3564-2234-1,11.765
TYC 3564-2234-1,11.379
TYC 3564-1890-1,12.396
TYC 3564-1890-1,12.535
TYC 3564-1016-1,16.446
TYC 3564-1016-1,16.023
TYC 3562-2318-1,5.458
TYC 3562-2318-1,5.472
TYC 3562-2092-1,6.052
TYC 3562-2092-1,6.298
TYC 3562-1555-1,9.939
TYC 3562-1555-1,10.0806
TYC 3561-685-1,6.687
TYC 3561-685-1,6.683
TYC 3561-665-1,2.3
TYC 3561-665-1,2.32
TYC 3561-60-1,2.884
TYC 3561-60-1,2.893
TYC 3561-1884-1,10.523
TYC 3561-1884-1,9.839
TYC 3561-1417-1,10.473
TYC 3561-1417-1,10.538
TYC 3561-1116-1,4.736
TYC 3561-1116-1,4.703
TYC 3560-727-1,1.342
TYC 3560-727-1,1.349
TYC 3560-458-1,13.02
TYC 3560-458-1,12.989
TYC 3560-2926-1,2.626
TYC 3560-2926-1,2.648
TYC 3560-2667-1,5.697
TYC 3560-2667-1,5.979
TYC 3560-2522-1,6.476
TYC 3560-2522-1,6.408
TYC 3560-2314-1,2.366
TYC 3560-2314-1,2.369
TYC 3560-2169-1,7.103
TYC 3560-2169-1,7.012
TYC 3560-1774-1,2.156
TYC 3560-1774-1,2.157
TYC 3560-1324-1,22.461
TYC 3560-1324-1,22.381
TYC 3560-1201-1,1.723
TYC 3560-1201-1,1.725
TYC 3558-901-1,1.966
TYC 3558-901-1,1.962
TYC 3558-762-1,3.518
TYC 3558-762-1,3.464
TYC 3558-2264-1,9.37
TYC 3558-2264-1,9.389
TYC 3558-2186-1,9.606
TYC 3558-2186-1,9.964
TYC 3558-2088-1,7.14
TYC 3558-2088-1,7.147
TYC 3558-2007-1,19.655
TYC 3558-2007-1,19.311
TYC 3558-1836-1,9.319
TYC 3558-1836-1,9.27
TYC 3558-1214-1,-1
TYC 3558-1214-1,-1
TYC 3558-1045-1,7.325
TYC 3558-1045-1,7.092
TYC 3557-832-1,6.24
TYC 3557-832-1,6.119
TYC 3557-716-1,14.671
TYC 3557-716-1,14.835
TYC 3557-601-1,6.31
TYC 3557-601-1,6.327
TYC 3557-2133-1,2.215
TYC 3557-2133-1,2.217
TYC 3557-212-1,2.296
TYC 3557-212-1,2.299
TYC 3557-19-1,-1
TYC 3557-19-1,-1
TYC 3557-1820-1,10.243
TYC 3557-1820-1,10.212
TYC 3557-1600-1,-1
TYC 3557-1600-1,-1
TYC 3557-1509-1,5.737
TYC 3557-1509-1,5.33
TYC 3557-1220-1,19.371
TYC 3557-1220-1,20.178
TYC 3556-926-1,10.623
TYC 3556-926-1,10.324
TYC 3556-926-1,10.2859
TYC 3556-74-1,-1
TYC 3556-74-1,-1
TYC 3556-392-1,22.739
TYC 3556-392-1,21.994
TYC 3556-3445-1,20.125
TYC 3556-3445-1,20.119
TYC 3556-3274-1,4.56
TYC 3556-3274-1,4.675
TYC 3556-3163-1,3.88
TYC 3556-3163-1,3.926
TYC 3556-3104-1,7.065
TYC 3556-3104-1,7.282
TYC 3556-2756-1,4.86
TYC 3556-2756-1,4.697
TYC 3556-2686-1,6.581
TYC 3556-2686-1,6.62
TYC 3556-2683-1,3.192
TYC 3556-2683-1,3.19448
TYC 3556-2483-1,4.086
TYC 3556-2483-1,4.093
TYC 3556-1985-1,7.537
TYC 3556-1985-1,7.465
TYC 3556-1909-1,15.802
TYC 3556-1909-1,15.623
TYC 3556-1905-1,2.101
TYC 3556-1905-1,2.08
TYC 3556-1489-1,3.142
TYC 3556-1489-1,3.149
TYC 3556-1463-1,3.475
TYC 3556-1463-1,3.355
TYC 3556-143-1,6.555
